rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3goH7O78TLkV9RhCAyM4AT","Apache 207","Fame","Four Music/Two Sides",1,-1,1,"9756042"
2,"spotify:track:7v8OynJxOxHoeS5C2UA9Y7","Capital Bra, Loredana","Nicht verdient","URBAN",1,1,3,"4236316"
3,"spotify:track:4NhDYoQTYCdWHTvlbGVgwo","6ix9ine","GOOBA","Create Music Group",3,-1,1,"3787304"
4,"spotify:track:6lU4BQWZomCWRfKSowfezE","Ufo361","Emotions","Stay High",1,2,3,"3758551"
5,"spotify:track:1mfmCQWZhV30L4Aj8ytMLz","Haftbefehl, Shirin David","Conan x Xenia","Urban",5,-1,1,"3403355"
6,"spotify:track:33jaF6gknsRif8HzH1RMAB","Luciano","Late Night","Urban",3,3,2,"3010717"
7,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,7,24,"2648086"
8,"spotify:track:24Yi9hE78yPEbZ4kxyoXAI","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",4,8,26,"2515710"
9,"spotify:track:466cKvZn1j45IpxDdYZqdA","Drake","Toosie Slide","OVO",1,6,6,"2515338"
10,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",10,17,4,"2382670"
11,"spotify:track:3ZdDYeaZzeYnrP4crgXzPk","Shirin David","90-60-111","Juicy Money Records",2,5,3,"2372737"
12,"spotify:track:4K9BEykCbkN1y0by5VAruR","KAYEF","Ich würd' lügen","Kayef Media",12,12,6,"2114322"
13,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music/Two Sides",1,18,38,"1993383"
14,"spotify:track:62aP9fBQKYKxi7PDXwcUAS","Surf Mesa, Emilee","ily (i love you baby) (feat. Emilee)","Astralwerks",11,15,10,"1990521"
15,"spotify:track:39Yp9wwQiSRIDOvrVg7mbk","THE SCOTTS, Travis Scott, Kid Cudi","THE SCOTTS","Cactus Jack / Epic",4,10,3,"1948091"
16,"spotify:track:4SeuiNnF2n9yA0KztuIFc8","Kontra K","Namen","BMG Rights Management GmbH",4,4,2,"1933840"
17,"spotify:track:5DvTCC5k50T8InS6xGqW2K","Nimo, Rina","Trendsetter","385ideal",11,11,2,"1925009"
18,"spotify:track:20rTzps5LFpeylWrzM84zS","Samra","BaeBae","Urban",1,13,5,"1886433"
19,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Virgin",5,16,19,"1839715"
20,"spotify:track:1vZqDXhvyXAwSM8V6MU0N5","CÉLINE","Tränen aus Kajal","BTGS / A Million / Groove Attack",14,14,6,"1836326"
21,"spotify:track:2iRUscC5xU7FVkx05yulFZ","Jamule","Scheiss Drauf","Life Is Pain",21,-1,1,"1782300"
22,"spotify:track:7vgv8KZBSo0TPzyIWG9yzV","Ava Max","Salt","Atlantic Records",12,19,13,"1608092"
23,"spotify:track:7eJMfftS33KTjuF7lTsMCx","Powfu, beabadoobee","death bed (coffee for your head)","Columbia",15,20,12,"1583406"
24,"spotify:track:4HBZA5flZLE435QTztThqH","Ariana Grande, Justin Bieber","Stuck with U (with Justin Bieber)","Ariana Grande & Justin Bieber ""Stuck With U""- Charity",24,-1,1,"1513324"
25,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",2,21,41,"1501294"
26,"spotify:track:61ZM92T2zaXIVsqncThQzC","Robin Schulz, Alida","In Your Eyes (feat. Alida)","WM Germany",12,22,18,"1485317"
27,"spotify:track:7C1trmcQQ5n5RNy4l6ziCv","Nea, Felix Jaehn","Some Say - Felix Jaehn Remix","Milkshake",24,28,14,"1453812"
28,"spotify:track:6LOOMDP92ezbkLDQH590K5","Mozzik","LASS MAL","Urban",28,-1,1,"1436507"
29,"spotify:track:4n0Ke1KJsPHvd7xRoU29E2","Dardan, Monet192","H <3 T E L","Hypnotize Entertainment",1,25,8,"1410441"
30,"spotify:track:4nK5YrxbMGZstTLbvj6Gxw","BENEE, Gus Dapperton","Supalonely","Republic Records",26,34,10,"1384804"
31,"spotify:track:1oZjXgscUfOnM6BItjiXdX","Dardan, Veysel","VIELE","Hypnotize Entertainment",9,9,2,"1360302"
32,"spotify:track:719aY5gAzJbx2PHjyalZQu","Zuna, Loredana, SRNO","Du bist mein","KMN Gang",1,24,7,"1345322"
33,"spotify:track:3UE1ojFN1y0GybCNSyKGdK","Shindy","What's Luv","Sony Music/Friends with Money",1,29,6,"1344810"
34,"spotify:track:24UgOPKL5S1vwzLwUtPsz7","FOURTY","WEISSER RAUCH","Life Is Pain",34,38,8,"1325011"
35,"spotify:track:1mYh9lsgyUgP2KefvuFpzD","Milano","ICH WEISS","7M2-Music",35,-1,1,"1313545"
36,"spotify:track:76nqCfJOcFFWBJN32PAksn","Ava Max","Kings & Queens","Atlantic Records",36,37,9,"1286059"
37,"spotify:track:0dy5NFDnx5fuZvE8ZXEX35","Bonez MC","Shotz Fired","187 Strassenbande",2,32,5,"1250934"
38,"spotify:track:0gThlZWwZWkDqRKGOz2CN1","Symba","Angels Sippen","SME - Symba",9,27,7,"1234803"
39,"spotify:track:7hr6WRm7HUlVdkfnhSTm0G","Nico Santos, Topic","Like I Love You","Virgin",39,51,9,"1215831"
40,"spotify:track:0nbXyq5TXYPCO7pr3N8S4I","Roddy Ricch","The Box","Atlantic Records",11,35,20,"1200360"
41,"spotify:track:7sMe3DBnBppU4COnQJHRV5","Dardan","WIE LANG?????????","Hypnotize Entertainment",7,30,4,"1194895"
42,"spotify:track:2PGA1AsJal6cyMNmKyE56q","Apache 207","200 km/h","Four Music/Two Sides",2,56,34,"1164247"
43,"spotify:track:0xPhH6xjOfgA8AR17Ohjll","Kool Savas, MEL","Brechen Mich Nicht","Sony Music/Essah Media GmbH",43,-1,1,"1134482"
