rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3pJa2fy3VW7Uxrzzz0k1A7","Bonez MC","Angeklagt","187 Strassenbande",1,-1,1,"6310925"
2,"spotify:track:3tjFYV6RSFtuktYl3ZtYcq","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",1,1,11,"3124175"
3,"spotify:track:7hxHWCCAIIxFLCzvDgnQHX","Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money Records/ TenThousand Projects",2,3,11,"2883764"
4,"spotify:track:1upzszB5JxMfNUEBmkcgaO","Lune","gebe auf.","Lune/WM Germany",4,14,3,"2503643"
5,"spotify:track:2qpZjutAe3pstQsjwSXQb4","VIZE, Joker Bra, Leony","Paradise","Kontor Records",4,4,10,"2442336"
6,"spotify:track:6cx06DFPPHchuUAcTxznu9","Joel Corry, MNEK","Head & Heart (feat. MNEK)","Atlantic Records UK",3,5,16,"2334180"
7,"spotify:track:1tkg4EHVoqnhR6iFEXb60y","Pop Smoke","What You Know Bout Love","Victor Victor Worldwide",6,6,5,"2085713"
8,"spotify:track:1kTofMVLsqgP3r77diCPI4","MERO, Nimo","Désolé","Groove Attack TraX",2,2,2,"2028226"
9,"spotify:track:4y4spB9m0Q6026KfkAvy9Q","Justin Bieber, benny blanco","Lonely (with benny blanco)","Friends Keep Secrets/Def Jam Recordings/Interscope Records",9,21,2,"1906081"
10,"spotify:track:6i7zAdNhzUN2k1HcrBxPHG","Ofenbach, Quarterhead, Norma Jean Martine","Head Shoulders Knees & Toes (feat. Norma Jean Martine)","Elektra France",8,9,14,"1860552"
11,"spotify:track:5ChtVY22XWHIpSgPtZZ6wB","Loredana, Delara","Checka","Loredana",2,7,5,"1839245"
12,"spotify:track:7mrWTjhYctgEQb0lJKrVWy","KitschKrieg, Jamule, SFR","Unterwegs","SoulForce Records",1,8,12,"1785940"
