rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3tjFYV6RSFtuktYl3ZtYcq","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",1,1,6,"4649348"
2,"spotify:track:1JPd9BSiiN7xrKE64Qo30m","Capital Bra","Einsam an der Spitze","URBAN",2,-1,1,"3290733"
3,"spotify:track:7mrWTjhYctgEQb0lJKrVWy","KitschKrieg, Jamule, SFR","Unterwegs","SoulForce Records",1,4,7,"3277947"
4,"spotify:track:7hxHWCCAIIxFLCzvDgnQHX","Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money Records/ TenThousand Projects",4,9,6,"3209493"
5,"spotify:track:0y8mJFmm4ogCHnfe0oTuT6","Bonez MC","Fuckst mich nur ab","187 Strassenbande",1,2,3,"2821380"
6,"spotify:track:249XLLQSxCTZLh2H54cC0I","Azet, Albi","Fast Life 2","Azet & Albi/WM Germany",6,-1,1,"2720755"
7,"spotify:track:6cx06DFPPHchuUAcTxznu9","Joel Corry, MNEK","Head & Heart (feat. MNEK)","Atlantic Records UK",7,8,11,"2643538"
8,"spotify:track:4ow1etGbQ8kfbAT3QPlmhN","Gentleman, Luciano, Ezhel","Devam (feat. Luciano & Ezhel)","Kingstone Records",8,-1,1,"2642841"
9,"spotify:track:1ddbNJwDjjmCYz1GFGYnsw","Capital Bra, CRO","Frühstück in Paris","URBAN",1,7,5,"2567238"
10,"spotify:track:0Sqe5DisMg8kh8M4W83RCl","Kontra K","Freunde","BMG Rights Management GmbH",10,-1,1,"2402045"
11,"spotify:track:4aZfvvgfoSfmSZpfwQYzC0","Bonez MC, Maxwell","Ihr Hobby","187 Strassenbande",3,3,2,"2256183"
12,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",2,11,15,"2214745"
13,"spotify:track:6bM4daGlfZHtKMQp8tEqVz","Bausa, Juju","2012","WM Germany",3,10,5,"2071296"
14,"spotify:track:6i7zAdNhzUN2k1HcrBxPHG","Ofenbach, Quarterhead, Norma Jean Martine","Head Shoulders Knees & Toes (feat. Norma Jean Martine)","Elektra France",14,18,9,"2064156"
15,"spotify:track:2WRTnY0slmFgWcrmEr8dPj","Apache 207","Bläulich","Four Music/Two Sides",1,15,12,"1965670"
16,"spotify:track:3hbHVdyA6cyVUBBLQ0RbUU","Kool Savas, Sido, Nessi","Dicka Was","Sony Music/Essah Media GmbH",16,-1,1,"1950299"
17,"spotify:track:5N92YoWttffe7U5v2j2ZA6","Bonez MC","Papa ist in Hollywood","187 Strassenbande",5,5,2,"1842473"
18,"spotify:track:1XdMp6v9Q3N80WnKSbGfl4","LA Vision, Gigi D'Agostino","Hollywood","Polydor",13,22,11,"1794583"
19,"spotify:track:4EmiHs5KnkApKW8pkfWdWW","Kool Savas, Alies","AMG","Sony Music/Essah Media GmbH",19,26,7,"1776752"
20,"spotify:track:59qrUpoplZxbIZxk6X0Bm3","Jason Derulo","Take You Dancing","Atlantic Records",20,32,9,"1752164"
21,"spotify:track:4Oun2ylbjFKMPTiaSbbCih","Cardi B, Megan Thee Stallion","WAP (feat. Megan Thee Stallion)","Atlantic/KSR",11,21,7,"1750980"
22,"spotify:track:0ZRi26KyiZ1b4D7VhyWSSY","KC Rebell, Summer Cem","WOW","Banger Musik/WM Germany",22,-1,1,"1649066"
23,"spotify:track:51Of5p3lKZeOg6itfs4og4","twocolors","Lovefool","Virgin",14,28,17,"1586287"
24,"spotify:track:5TGcyccg8Hkgn9jB7gUpMN","VIZE, Tom Gregory","Never Let Me Down","Kontor Records",8,27,22,"1576165"
25,"spotify:track:3lHuDW8SiPtnIMmaTiDFVe","Bonez MC, Gzuz, Maxwell, LX, Sa4","187 Gang","187 Strassenbande",6,6,2,"1570773"
26,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",3,31,23,"1548557"
27,"spotify:track:5FNhlq7JSnm1kisNKeuVAP","Capital Bra, Clueso, KC Rebell","Andere Welt","URBAN",2,43,9,"1547677"
28,"spotify:track:2IgS1yFPwHOHGbpZTV7QD1","Capital Bra","Makarov Komplex II","URBAN",28,-1,1,"1514709"
29,"spotify:track:7idxewQZ24F0gQy2EWE6Ug","Bonez MC","Tilidin Weg","187 Strassenbande",3,12,8,"1499197"
30,"spotify:track:2qpZjutAe3pstQsjwSXQb4","VIZE, Joker Bra, Leony","Paradise","Kontor Records",30,50,5,"1486160"
31,"spotify:track:5LOJdJPzuevskkoAtLj8hb","Tujamo, VIZE, MAJAN","Lonely","Virgin",29,35,16,"1482163"
32,"spotify:track:3dy7SaVShdnjwtx9IXhtzg","AK AUSSERKONTROLLE, Bonez MC","In meinem Benz","XY Records",1,30,17,"1481297"
33,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,37,43,"1443125"
34,"spotify:track:5u1n1kITHCxxp8twBcZxWy","Justin Bieber, Chance the Rapper","Holy (feat. Chance The Rapper)","RBMG/Def Jam",34,-1,1,"1421132"
35,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",18,36,23,"1414655"
36,"spotify:track:6ikiAn9th3TUfS3bYS7gDX","ELIF, Samra","AUGEN ZU (feat. Samra)","Jive",9,25,3,"1389753"
37,"spotify:track:661lkHBpsQdExYQqnl7aZ3","Capital Bra, Nimo, Summer Cem","Früher pleite heute Benz","URBAN",37,-1,1,"1377867"
38,"spotify:track:45bE4HXI0AwGZXfZtMp8JR","Tate McRae","you broke me first","RCA Records Label",38,46,13,"1338968"
39,"spotify:track:3P4uSN2VJ7asF4xdw1lDEf","Ufo361, Sonus030","Games","Stay High",4,24,3,"1320787"
40,"spotify:track:2u6Jm2klS4yvAlbSHlxUwI","Robin Schulz, Wes","Alane","WM Germany",11,40,14,"1317796"
41,"spotify:track:7MkH5WEq1dEuj0Fh0ge2lw","KALIM","BABY","Urban",41,-1,1,"1290176"
42,"spotify:track:5CqkgDH8QZjSqqI3HmYxDD","Pashanim","Airwaves","Urban",2,38,19,"1270427"
43,"spotify:track:2Y0wPrPQBrGhoLn14xRYCG","Juice WRLD, Marshmello","Come & Go (with Marshmello)","Grade A Productions/Interscope Records",20,45,11,"1259779"
44,"spotify:track:5rZlwNFl01HqLWBQGryKSm","Pop Smoke, Lil Tjay","Mood Swings (feat. Lil Tjay)","Victor Victor Worldwide",23,39,7,"1249912"
45,"spotify:track:0PvFJmanyNQMseIFrU708S","Pop Smoke, Lil Baby, DaBaby","For The Night (feat. Lil Baby & DaBaby)","Victor Victor Worldwide",44,49,12,"1234102"
46,"spotify:track:75GC36acD4L0gtJGlZ95xh","reezy","1+1","Four Music/Two Sides",46,-1,1,"1230839"
47,"spotify:track:0atjNG0rNW2m6zPaiK4Co7","Bonez MC","Roadrunner","187 Strassenbande",1,19,18,"1225031"
48,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music/Two Sides",1,47,57,"1209072"
49,"spotify:track:7oJW8vNkosiWuKJtsq3mZs","Apache 207","Unterwegs","Four Music/Two Sides",1,42,9,"1178480"
50,"spotify:track:6AhBfFjAQ1HRfVrX4jt5nq","Azet, Albi","Zehnte Etage","Azet & Albi/WM Germany",20,20,2,"1173835"
51,"spotify:track:6EDO9iiTtwNv6waLwa1UUq","DJ Khaled, Drake","POPSTAR (feat. Drake)","OVO/We The Best/Epic",35,61,9,"1148646"
52,"spotify:track:01qOl2pM8emx1sxdBQc05g","LEA, MAJAN","Beifahrersitz","Four Music/Treppenhaus Records",52,54,2,"1146848"
53,"spotify:track:2Wo6QQD1KMDWeFkkjLqwx5","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",4,52,45,"1142403"
54,"spotify:track:7tUTCcqkMCnC9qLqbQeI0T","Felix Jaehn, Nea, Bryn Christopher","No Therapy","Virgin",54,62,5,"1111602"
55,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Virgin",5,51,38,"1072610"
56,"spotify:track:6PvnYoDc0QPBHjX1ylhz0C","Capital Bra, Sido","Keine Helden","URBAN",56,-1,1,"1067207"
57,"spotify:track:6R6on0ldJcSDfi2whJziJ1","Capital Bra","Berlin lebt immer noch","URBAN",13,13,2,"1062824"
58,"spotify:track:35RJhm1pEovTBwnNR0zWad","DJ Khaled, Drake","GREECE (feat. Drake)","OVO/We The Best/Epic",22,48,10,"1061522"
59,"spotify:track:42Si2LCd1kJpDoCkmOVHPc","Olexesh","Kriminal","385ideal",59,-1,1,"1049876"
60,"spotify:track:0d20J56dYsdgYjnRubckOq","Capital Bra, Loredana","Wenn ich will","URBAN",60,-1,1,"1041429"
61,"spotify:track:5AVPelpkccFdZdepfo2GhM","Kontra K, AK AUSSERKONTROLLE","Sirenen (feat. AK Ausserkontrolle)","BMG Rights Management GmbH",5,44,4,"1032476"
62,"spotify:track:0QjjaCaXE45mvhCnV3C0TA","Apache 207","Fame","Four Music/Two Sides",1,53,20,"1032108"
