rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:57tck8MCxkY6tcQC6VhahR","Apache 207","Bläulich","Four Music/Two Sides",1,1,3,"5188628"
2,"spotify:track:5Hkj1XjMJv5QCGc9NwZm6z","Luciano, Shirin David","Never Know (feat. SHIRIN DAVID)","Urban",2,-1,1,"4275483"
3,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",2,3,6,"3775259"
4,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",3,5,14,"3125210"
5,"spotify:track:5CqkgDH8QZjSqqI3HmYxDD","Pashanim","Airwaves","Urban",2,6,10,"2925448"
6,"spotify:track:7bDSLyTjZ1VjU5kPHTL3Ko","Kontra K, Samra","Tiefschwarz (feat. Samra)","BMG Rights Management GmbH",2,2,2,"2900064"
7,"spotify:track:1ueWZubKpdTGEz3AzgefB5","Juju","Vertrau mir","JINX Music",7,-1,1,"2788707"
8,"spotify:track:7yJLc4dA0VObbLE88lZZ5q","Samra","Miskin","Urban",8,-1,1,"2787619"
9,"spotify:track:5TGcyccg8Hkgn9jB7gUpMN","VIZE, Tom Gregory","Never Let Me Down","Kontor Records",8,8,13,"2437542"
10,"spotify:track:68lAxWGvGc9yGheEkFDFiT","Pietro Lombardi","Cinderella","Polydor",10,-1,1,"2301089"
11,"spotify:track:6BXyD6UUPizpRpA7iOi99r","AK AUSSERKONTROLLE, Bonez MC","In meinem Benz","XY Records",1,11,8,"2286648"
12,"spotify:track:3yFmG1luaLjuHWI6BGmwxJ","KC Rebell, Summer Cem, Loredana","GEH DEIN WEG (feat. Loredana)","Banger Musik II/WM Germany",4,4,2,"2240633"
13,"spotify:track:0p3euGPg5LgFeQGC7bBFuR","Miksu / Macloud, Summer Cem, Luciano, Jamule","XXL","FUTURA",1,7,4,"2207739"
14,"spotify:track:2u6Jm2klS4yvAlbSHlxUwI","Robin Schulz, Wes","Alane","WM Germany",14,14,5,"2191372"
15,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,13,34,"2046751"
16,"spotify:track:6bRR9tU3WUBsC4aywSgHEO","FOURTY","WEISSER RAUCH","Life Is Pain",14,15,18,"2023189"
17,"spotify:track:3yZCjDTxzZxx1kll1sRjGc","Ufo361, CÉLINE","Emotions 2.0","Stay High",1,9,6,"2013446"
18,"spotify:track:0rqY8g1Y1zaA4YwU6vhBQg","Apache 207","Boot","Four Music/Two Sides",1,10,7,"1997127"
19,"spotify:track:51Of5p3lKZeOg6itfs4og4","twocolors","Lovefool","Virgin",19,21,8,"1931846"
20,"spotify:track:7y7w4tl4MaRC2UMEj1mPtr","Juice WRLD, Marshmello","Come & Go (with Marshmello)","Grade A Productions/Interscope Records",20,22,2,"1828156"
21,"spotify:track:24Yi9hE78yPEbZ4kxyoXAI","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",4,19,36,"1807257"
22,"spotify:track:2WOJ7D52Ng3myrKlEf4Azj","Bonez MC","Big Body Benz","187 Strassenbande",1,17,5,"1792383"
23,"spotify:track:3goH7O78TLkV9RhCAyM4AT","Apache 207","Fame","Four Music/Two Sides",1,18,11,"1791026"
24,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Virgin",5,25,29,"1721100"
25,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music/Two Sides",1,24,48,"1640663"
26,"spotify:track:1XTUu81IEyoi5nU5H6Bf3H","Sarhad","Sinne","Fuchs",26,37,6,"1624580"
27,"spotify:track:4KfL3Ne8bc9bC2PUB8QGwA","Capital Bra, Bozza","Ich weiß nicht mal wie sie heißt","URBAN",2,20,5,"1615762"
28,"spotify:track:1NP7bzm8UksJUWXsuFoOwE","Mark Forster","Übermorgen","Four Music Local",28,28,12,"1561191"
29,"spotify:track:5pfzb7BxAQReEjkEtIwt4J","Dhurata Dora, Azet","Fajet","Epic/Two Sides",29,-1,1,"1559433"
30,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",30,32,14,"1513596"
31,"spotify:track:35RJhm1pEovTBwnNR0zWad","DJ Khaled, Drake","GREECE (feat. Drake)","OVO/We The Best/Epic",31,-1,1,"1510976"
32,"spotify:track:7C1trmcQQ5n5RNy4l6ziCv","Nea, Felix Jaehn","Some Say - Felix Jaehn Remix","Milkshake",24,36,24,"1482175"
33,"spotify:track:0Jh40A8WJdGXwkEDgxhaKo","Kynda Gray, RIN","Ayo Technology","GOLD LEAGUE/DIVISION",8,26,4,"1473488"
34,"spotify:track:76nqCfJOcFFWBJN32PAksn","Ava Max","Kings & Queens","Atlantic Records",23,30,19,"1467677"
35,"spotify:track:6EDO9iiTtwNv6waLwa1UUq","DJ Khaled, Drake","POPSTAR (feat. Drake)","OVO/We The Best/Epic",35,-1,1,"1432916"
36,"spotify:track:1WoM4mof0Nl1xPtwf6h6ow","KC Rebell, Summer Cem","FLY","Banger Musik II/WM Germany",3,29,8,"1409958"
37,"spotify:track:1EbdQ54jFLGEH94cUif3TI","LEA, Capital Bra","7 Stunden","Four Music/Treppenhaus Records",10,27,8,"1404797"
38,"spotify:track:24IgCW19L8lXKyFZwzFtD3","Black Eyed Peas, Ozuna, J. Rey Soul","MAMACITA","Epic",28,33,14,"1380121"
39,"spotify:track:0BwO44CBPFWxAIO5ZbPf3N","Bonez MC","Roadrunner","187 Strassenbande",1,31,9,"1371163"
40,"spotify:track:6rc0vqoHYtF1J79fsIo9ia","Luciano","Nacht zu kurz","Urban",4,16,3,"1368128"
41,"spotify:track:525GY0mXYnxajolwgS8Eaz","Lucky Luke","Cooler Than Me","Columbia/B1 Recordings",38,39,10,"1336931"
42,"spotify:track:6lU4BQWZomCWRfKSowfezE","Ufo361","Emotions","Stay High",1,35,13,"1273712"
43,"spotify:track:62aP9fBQKYKxi7PDXwcUAS","Surf Mesa, Emilee","ily (i love you baby) (feat. Emilee)","Astralwerks",11,38,20,"1268809"
44,"spotify:track:6KiEsqGg0HBOSMflVH7Onx","Tones And I","Ur So F**kInG cOoL","Elektra (NEK)",44,50,6,"1254875"
45,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",2,41,51,"1219156"
46,"spotify:track:5t3PF7pHuiwwLbNCJ8mn4N","Jamule","MedMen","Life Is Pain",11,40,5,"1174255"
47,"spotify:track:5B9CtjeguIO9LeOk8Xs1J3","KAYEF","Ich würd' lügen","Kayef Media",12,45,16,"1164415"
48,"spotify:track:4w47S36wQGBhGg073q3nt7","ROSALÍA, Travis Scott","TKN (feat. Travis Scott)","Columbia",44,44,8,"1150862"
49,"spotify:track:06m5d7tSmOjGwdqvsLN1l1","JURI, Sun Diego","Death Row","BBM Records",49,-1,1,"1115894"
50,"spotify:track:17Jm0HKkU2Qh7K264pSSXW","AK AUSSERKONTROLLE, Jugglerz","Gangster Queen","XY Records",11,34,3,"1114218"
51,"spotify:track:6o3QUC5oAE4g6WxRIFcZtb","Juice WRLD","Wishing Well","Grade A Productions/Interscope Records",51,53,2,"1069008"
52,"spotify:track:0iqichhGnbEy9w6p4sytpW","Bozza, Samra","Unbekannt","Def Jam Germany",7,23,3,"1026687"
53,"spotify:track:7ju97lgwC2rKQ6wwsf9no9","Lady Gaga, Ariana Grande","Rain On Me (with Ariana Grande)","Interscope",21,49,9,"1022976"
54,"spotify:track:7hr6WRm7HUlVdkfnhSTm0G","Nico Santos, Topic","Like I Love You","Virgin",31,58,19,"1014741"
55,"spotify:track:7My1iCGUznwNztIokee32S","Jerome","Take My Hand","Kontor Records",46,54,19,"1012871"
56,"spotify:track:5UDK6yzqiW4kJU3YQauYR5","reezy, Bausa","SANDMANN","Four Music/Two Sides",13,46,8,"1003546"
57,"spotify:track:50Td3qilgs8BLtv8mHyT1t","Zoe Wees","Control","Virgin Music UK LAS (S&D)",41,48,10,"996356"
58,"spotify:track:466cKvZn1j45IpxDdYZqdA","Drake","Toosie Slide","OVO",1,51,16,"990101"
59,"spotify:track:2rxxXYtTIFKyrhJpofeoIX","KC Rebell, Summer Cem, Luciano","VALLA NEIN (feat. Luciano)","Banger Musik II/WM Germany",2,47,7,"988825"
60,"spotify:track:1NIZfoTuiAHIm9VUAwsPZy","Azet, Albi","Sin City","Azet & Albi/WM Germany",12,12,2,"979148"
61,"spotify:track:2vDxrqUKTkgSxn7x3JYms9","Felix Jaehn, GASHI, FAANGS","SICKO","Virgin",55,59,15,"952836"
62,"spotify:track:5gFCFZnV0QTt1YfjY7dJBY","David Puentez, Albert Neve","Superstar","Virgin",62,64,9,"937568"
63,"spotify:track:1H7KnK26kc1YyellpbINEn","Pop Smoke, 50 Cent, Roddy Ricch","The Woo (feat. 50 Cent & Roddy Ricch)","Victor Victor Worldwide",50,62,3,"928139"
64,"spotify:track:5DV4ZSCqbFv74ui3ZhimXo","Jason Derulo, Puri, Jhorrmountain","Coño","Spinnin' Records",64,120,3,"902176"
65,"spotify:track:2A0CxheiQGQdCiKtOR7jMP","LUM!X, D.T.E, Gabry Ponte, MOKABY","The Passenger (LaLaLa) [feat. MOKABY]","Spinnin' Records",47,66,23,"891958"
66,"spotify:track:4YjQZ07m4KCI5RDsI0H6qI","Mozzik","BABY","Urban",66,-1,1,"883458"
67,"spotify:track:4nK5YrxbMGZstTLbvj6Gxw","BENEE, Gus Dapperton","Supalonely","Republic Records",26,57,20,"882075"
68,"spotify:track:0dZpw3h6KZhcHec61qwevZ","Conkarah, Shaggy, DJ Fle","Banana (feat. Shaggy) - DJ FLe - Minisiren Remix","S-Curve Records",68,70,6,"873379"
69,"spotify:track:6cx06DFPPHchuUAcTxznu9","Joel Corry, MNEK","Head & Heart (feat. MNEK)","Atlantic Records UK",69,140,2,"869451"
70,"spotify:track:2PGA1AsJal6cyMNmKyE56q","Apache 207","200 km/h","Four Music/Two Sides",2,67,44,"846690"
71,"spotify:track:5cZt2eokuhxGh3dFlJh1Np","JIGGO, Azad","Immer wenn es regnet","Husla Music/WM Gerrmany",71,-1,1,"828155"
72,"spotify:track:1IikW5aCjY08gagX94j3fJ","Pashanim","Hauseingang","Urban",40,74,31,"827985"
73,"spotify:track:5LOJdJPzuevskkoAtLj8hb","Tujamo, VIZE, MAJAN","Lonely","Virgin",73,87,7,"826671"
74,"spotify:track:4AqN8IdKCfItCSbuaFch81","VIZE, Felix Jaehn","Thank You [Not So Bad]","Virgin",74,79,22,"821743"
75,"spotify:track:2u8AXJyk8pICzj2wyPBL0b","Sido, Apache 207","2002","Urban",5,86,43,"821271"
76,"spotify:track:5duf2NsABczC5cHAe0zwLn","Ra'is","Hayat","Groove Attack TraX",47,68,6,"820085"
77,"spotify:track:1eIsyfDHoEbemSnQFsgyAv","StaySolidRocky, Lil Uzi Vert","Party Girl (Remix)","Columbia",77,-1,1,"811658"
78,"spotify:track:7eJMfftS33KTjuF7lTsMCx","Powfu, beabadoobee","death bed (coffee for your head)","Columbia",15,75,22,"792119"
79,"spotify:track:7v8OynJxOxHoeS5C2UA9Y7","Capital Bra, Loredana","Nicht verdient","URBAN",1,73,13,"781775"
80,"spotify:track:3Be7CLdHZpyzsVijme39cW","Kygo, Tina Turner","What's Love Got to Do with It","Kygo",80,-1,1,"769957"
81,"spotify:track:4zLSkwZaiMfzzapPCbdG90","GAMPER & DADONI","Gimme! Gimme! Gimme!","Big Top Amsterdam",52,89,21,"767479"
82,"spotify:track:4NhDYoQTYCdWHTvlbGVgwo","6ix9ine","GOOBA","Create Music Group",3,63,11,"766873"
83,"spotify:track:61ZM92T2zaXIVsqncThQzC","Robin Schulz, Alida","In Your Eyes (feat. Alida)","WM Germany",12,84,28,"764099"
84,"spotify:track:4h5N4KyWZMtpeH9vhXSXjd","Juice WRLD, Halsey","Life's A Mess (feat. Halsey)","Grade A Productions/Interscope Records",43,43,2,"763465"
