rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5FLkxbVtsn88ejcLR62L4T","Bonez MC","Angeklagt","187 Strassenbande",1,1,4,"2919339"
2,"spotify:track:6ReuhBWXeOzgOQIXiPqW0y","Samra","Kennst du das ?!","Urban",2,-1,1,"2792317"
3,"spotify:track:1upzszB5JxMfNUEBmkcgaO","Lune","gebe auf.","Lune/WM Germany",2,2,6,"2753995"
4,"spotify:track:3tjFYV6RSFtuktYl3ZtYcq","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",1,5,14,"2520726"
5,"spotify:track:7hxHWCCAIIxFLCzvDgnQHX","Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money Records/ TenThousand Projects",2,4,14,"2410311"
6,"spotify:track:54bFM56PmE4YLRnqpW6Tha","Billie Eilish","Therefore I Am","Darkroom/Interscope Records",6,-1,1,"2184334"
7,"spotify:track:6cx06DFPPHchuUAcTxznu9","Joel Corry, MNEK","Head & Heart (feat. MNEK)","Atlantic Records UK",3,9,19,"1985304"
8,"spotify:track:2qpZjutAe3pstQsjwSXQb4","VIZE, Joker Bra, Leony","Paradise","Kontor Records",4,10,13,"1846014"
9,"spotify:track:4y4spB9m0Q6026KfkAvy9Q","Justin Bieber, benny blanco","Lonely (with benny blanco)","Friends Keep Secrets/Def Jam Recordings/Interscope Records",8,8,5,"1834437"
10,"spotify:track:6i7zAdNhzUN2k1HcrBxPHG","Ofenbach, Quarterhead, Norma Jean Martine","Head Shoulders Knees & Toes (feat. Norma Jean Martine)","Elektra France",8,12,17,"1740994"
11,"spotify:track:1tkg4EHVoqnhR6iFEXb60y","Pop Smoke","What You Know Bout Love","Victor Victor Worldwide",6,11,8,"1706903"
12,"spotify:track:5wvuvSerLcNK5Xc8v2duWn","Casar","Habibi","Urban",7,7,2,"1671633"
13,"spotify:track:35mvY5S1H3J2QZyna3TFe0","Ariana Grande","positions","Republic Records",13,15,4,"1614444"
14,"spotify:track:4YQHUUBLOjWxPYzXFEv1Pr","Loredana","Tut mir nicht leid","Loredana",6,6,2,"1576306"
15,"spotify:track:1WGegaPI5cRivxk7Rv3Uw8","LX, Gzuz","Kollektiv","187 Strassenbande",3,3,2,"1504507"
16,"spotify:track:4151t4alIElfFeqeJTchjm","FiNCH, Tarek K.I.Z","Onkelz Poster","WM Germany/Walk This Way Records",16,-1,1,"1470093"
17,"spotify:track:7mrWTjhYctgEQb0lJKrVWy","KitschKrieg, Jamule, SFR","Unterwegs","SoulForce Records",1,18,15,"1402985"
18,"spotify:track:1FP9s72rDYty6mfoOEYKnE","Robin Schulz, KIDDO","All We Got (feat. KIDDO)","WM Germany",18,32,5,"1399450"
19,"spotify:track:1O2gOblgfyostGPbLzqghY","Mark Forster, VIZE","Bist du Okay","Four Music Local",18,19,8,"1385467"
20,"spotify:track:20McUFi8KCIVdNDLrkTDuZ","HVME","Goosebumps","Columbia/B1 Recordings",13,20,18,"1381892"
21,"spotify:track:2vS1HmVoOpvWeFKf7HnWdJ","Alligatoah, Sido","Monet","Trailerpark",12,24,5,"1324255"
22,"spotify:track:2kvJnNMqnimkCZUUWjOINy","Bozza","Elbe","Def Jam Germany",15,23,8,"1286070"
23,"spotify:track:45bE4HXI0AwGZXfZtMp8JR","Tate McRae","you broke me first","RCA Records Label",23,25,21,"1248551"
24,"spotify:track:59qrUpoplZxbIZxk6X0Bm3","Jason Derulo","Take You Dancing","Atlantic Records",17,26,17,"1230475"
25,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,29,51,"1218954"
26,"spotify:track:6ft4hAq6yde8jPZY2i5zLr","MEDUZA, Dermot Kennedy","Paradise (feat. Dermot Kennedy)","Universal-Island Records Ltd.",26,52,3,"1208179"
27,"spotify:track:0AdW0WP7my1ggWaKBJHmr3","Capo","GEISTERSTADT","WM Germany",27,-1,1,"1193886"
