rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0rqY8g1Y1zaA4YwU6vhBQg","Apache 207","Boot","Four Music/Two Sides",1,-1,1,"5808875"
2,"spotify:track:2rxxXYtTIFKyrhJpofeoIX","KC Rebell, Summer Cem, Luciano","VALLA NEIN (feat. Luciano)","Banger Musik II/WM Germany",2,-1,1,"4460651"
3,"spotify:track:5CqkgDH8QZjSqqI3HmYxDD","Pashanim","Airwaves","Urban",2,2,4,"4282536"
4,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",4,7,8,"3896263"
5,"spotify:track:3qT2eKpWNq5cze7kGGORDZ","RIN","DAS RENNEN","GOLD LEAGUE/DIVISION",5,-1,1,"3607475"
6,"spotify:track:6BXyD6UUPizpRpA7iOi99r","AK AUSSERKONTROLLE, Bonez MC","In meinem Benz","XY Records",1,1,2,"3605709"
7,"spotify:track:3goH7O78TLkV9RhCAyM4AT","Apache 207","Fame","Four Music/Two Sides",1,4,5,"3519064"
8,"spotify:track:6lU4BQWZomCWRfKSowfezE","Ufo361","Emotions","Stay High",1,9,7,"3013360"
9,"spotify:track:0BwO44CBPFWxAIO5ZbPf3N","Bonez MC","Roadrunner","187 Strassenbande",1,6,3,"2976271"
10,"spotify:track:1WoM4mof0Nl1xPtwf6h6ow","KC Rebell, Summer Cem","FLY","Banger Musik II/WM Germany",3,3,2,"2873384"
11,"spotify:track:1EbdQ54jFLGEH94cUif3TI","LEA, Capital Bra","7 Stunden","Four Music/Treppenhaus Records",10,10,2,"2613449"
12,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,14,28,"2327507"
13,"spotify:track:2P3wDebxuSCf415hQq9O0L","Haftbefehl, Shindy","KMDF","Urban",13,-1,1,"2316542"
14,"spotify:track:0U9dP3BUlAgq9KkJXOijBH","KALIM, Ufo361","SKRR","Urban",5,5,2,"2278475"
15,"spotify:track:24Yi9hE78yPEbZ4kxyoXAI","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",4,15,30,"2210587"
16,"spotify:track:4tWuatjrK2HpbZqWV82onF","Dardan, Eno, Noah","AVENTADOR","Hypnotize Entertainment",16,-1,1,"2155900"
17,"spotify:track:6bRR9tU3WUBsC4aywSgHEO","FOURTY","WEISSER RAUCH","Life Is Pain",16,22,12,"2040745"
18,"spotify:track:5TGcyccg8Hkgn9jB7gUpMN","VIZE, Tom Gregory","Never Let Me Down","Kontor Records",18,24,7,"1886426"
19,"spotify:track:4NhDYoQTYCdWHTvlbGVgwo","6ix9ine","GOOBA","Create Music Group",3,18,5,"1802394"
20,"spotify:track:5UDK6yzqiW4kJU3YQauYR5","reezy, Bausa","SANDMANN","Four Music/Two Sides",13,13,2,"1798759"
21,"spotify:track:466cKvZn1j45IpxDdYZqdA","Drake","Toosie Slide","OVO",1,17,10,"1798027"
22,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music/Two Sides",1,26,42,"1793887"
23,"spotify:track:01I9AEz658sQnQzCL3K3QG","Shirin David","HOES UP G'S DOWN","Juicy Money Records",8,8,2,"1737593"
24,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Virgin",5,23,23,"1686752"
25,"spotify:track:62aP9fBQKYKxi7PDXwcUAS","Surf Mesa, Emilee","ily (i love you baby) (feat. Emilee)","Astralwerks",11,21,14,"1630051"
26,"spotify:track:76nqCfJOcFFWBJN32PAksn","Ava Max","Kings & Queens","Atlantic Records",24,29,13,"1626760"
27,"spotify:track:7v8OynJxOxHoeS5C2UA9Y7","Capital Bra, Loredana","Nicht verdient","URBAN",1,19,7,"1589350"
28,"spotify:track:5h1p0YgjEoJHyjvO9CcA5A","Scooter, FiNCH","Bassdrum","Sheffield Tunes",28,-1,1,"1500970"
29,"spotify:track:4K9BEykCbkN1y0by5VAruR","KAYEF","Ich würd' lügen","Kayef Media",12,27,10,"1499948"
30,"spotify:track:3US6RbELvvrPw3DcvtJmis","Capital Bra","Komm Komm","URBAN",2,16,3,"1494032"
31,"spotify:track:7ju97lgwC2rKQ6wwsf9no9","Lady Gaga, Ariana Grande","Rain On Me (with Ariana Grande)","Interscope",21,25,3,"1399745"
32,"spotify:track:29TUkNnrShE2xvCZcCb6Xa","MERO","Bogota","Groove Attack TraX",11,11,2,"1397156"
33,"spotify:track:5iofMFiNhKxjWWAkZEHISG","Zuna","Benzema","KMN Gang",33,-1,1,"1388369"
34,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",2,34,45,"1346007"
35,"spotify:track:33jaF6gknsRif8HzH1RMAB","Luciano","Late Night","Urban",3,30,6,"1345565"
36,"spotify:track:14wf185UxfNbSy8dwt4r4q","Black Eyed Peas, Ozuna, J. Rey Soul","MAMACITA","Epic",31,31,8,"1335227"
37,"spotify:track:4Qy2Eo9URGWbV4VzwBTdxU","Farid Bang, Capo, Rick Ross","Scarface (feat. Capo & Rick Ross)","Farid Bang II/WM Germany",12,12,2,"1335220"
