rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2WOJ7D52Ng3myrKlEf4Azj","Bonez MC","Big Body Benz","187 Strassenbande",1,-1,1,"5840579"
2,"spotify:track:4KfL3Ne8bc9bC2PUB8QGwA","Capital Bra, Bozza","Ich weiß nicht mal wie sie heißt","URBAN",2,-1,1,"5085821"
3,"spotify:track:5CqkgDH8QZjSqqI3HmYxDD","Pashanim","Airwaves","Urban",2,2,6,"4391042"
4,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",3,3,10,"3957994"
5,"spotify:track:3yZCjDTxzZxx1kll1sRjGc","Ufo361, CÉLINE","Emotions 2.0","Stay High",1,1,2,"3663848"
6,"spotify:track:0rqY8g1Y1zaA4YwU6vhBQg","Apache 207","Boot","Four Music/Two Sides",1,4,3,"3285264"
7,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",7,36,2,"3168410"
8,"spotify:track:6BXyD6UUPizpRpA7iOi99r","AK AUSSERKONTROLLE, Bonez MC","In meinem Benz","XY Records",1,6,4,"2833290"
9,"spotify:track:3goH7O78TLkV9RhCAyM4AT","Apache 207","Fame","Four Music/Two Sides",1,5,7,"2831034"
10,"spotify:track:17tgK6f93CECWj0EC70RfQ","Kalazh44, Samra","Kashira","Kalazh44",10,-1,1,"2711718"
11,"spotify:track:5t3PF7pHuiwwLbNCJ8mn4N","Jamule","MedMen","Life Is Pain",11,-1,1,"2512783"
12,"spotify:track:1EbdQ54jFLGEH94cUif3TI","LEA, Capital Bra","7 Stunden","Four Music/Treppenhaus Records",10,12,4,"2412910"
13,"spotify:track:5TGcyccg8Hkgn9jB7gUpMN","VIZE, Tom Gregory","Never Let Me Down","Kontor Records",13,16,9,"2357833"
14,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,11,30,"2356462"
15,"spotify:track:0BwO44CBPFWxAIO5ZbPf3N","Bonez MC","Roadrunner","187 Strassenbande",1,8,5,"2329187"
16,"spotify:track:24Yi9hE78yPEbZ4kxyoXAI","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",4,13,32,"2322897"
17,"spotify:track:6bRR9tU3WUBsC4aywSgHEO","FOURTY","WEISSER RAUCH","Life Is Pain",14,14,14,"2308221"
18,"spotify:track:1WoM4mof0Nl1xPtwf6h6ow","KC Rebell, Summer Cem","FLY","Banger Musik II/WM Germany",3,10,4,"2249132"
19,"spotify:track:2rxxXYtTIFKyrhJpofeoIX","KC Rebell, Summer Cem, Luciano","VALLA NEIN (feat. Luciano)","Banger Musik II/WM Germany",2,7,3,"2161051"
20,"spotify:track:2aVza5KlpqG1LXcdBNn6R3","Kontra K","Sonne","BMG Rights Management GmbH",20,-1,1,"2053871"
21,"spotify:track:6lU4BQWZomCWRfKSowfezE","Ufo361","Emotions","Stay High",1,9,9,"2030750"
22,"spotify:track:3037SYUA7xO7LGLQbl1DjA","badmómzjay","Snowbunny","Vertigo Berlin",22,-1,1,"1841728"
23,"spotify:track:76nqCfJOcFFWBJN32PAksn","Ava Max","Kings & Queens","Atlantic Records",23,23,15,"1811278"
24,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Virgin",5,21,25,"1792015"
25,"spotify:track:62aP9fBQKYKxi7PDXwcUAS","Surf Mesa, Emilee","ily (i love you baby) (feat. Emilee)","Astralwerks",11,24,16,"1750058"
26,"spotify:track:0KONCbkFfQlOj7SFo4pnFb","KALIM","DOPEBOY","Urban",26,-1,1,"1741319"
27,"spotify:track:6RYPJUBsL3w0k1CHKYtrRF","Monet192, Dardan","SoSo (feat. Dardan)","WM Germany",27,-1,1,"1738346"
28,"spotify:track:3qT2eKpWNq5cze7kGGORDZ","RIN","DAS RENNEN","GOLD LEAGUE/DIVISION",5,15,3,"1727054"
29,"spotify:track:24IgCW19L8lXKyFZwzFtD3","Black Eyed Peas, Ozuna, J. Rey Soul","MAMACITA","Epic",28,28,10,"1715078"
