rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3tjFYV6RSFtuktYl3ZtYcq","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",1,1,10,"3228238"
2,"spotify:track:1kTofMVLsqgP3r77diCPI4","MERO, Nimo","Désolé","Groove Attack TraX",2,-1,1,"3022376"
3,"spotify:track:7hxHWCCAIIxFLCzvDgnQHX","Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money Records/ TenThousand Projects",2,2,10,"3021251"
4,"spotify:track:2qpZjutAe3pstQsjwSXQb4","VIZE, Joker Bra, Leony","Paradise","Kontor Records",4,5,9,"2537157"
5,"spotify:track:6cx06DFPPHchuUAcTxznu9","Joel Corry, MNEK","Head & Heart (feat. MNEK)","Atlantic Records UK",3,3,15,"2391781"
6,"spotify:track:1tkg4EHVoqnhR6iFEXb60y","Pop Smoke","What You Know Bout Love","Victor Victor Worldwide",6,10,4,"2057398"
7,"spotify:track:5ChtVY22XWHIpSgPtZZ6wB","Loredana, Delara","Checka","Loredana",2,6,4,"2040166"
8,"spotify:track:7mrWTjhYctgEQb0lJKrVWy","KitschKrieg, Jamule, SFR","Unterwegs","SoulForce Records",1,7,11,"1998932"
9,"spotify:track:6i7zAdNhzUN2k1HcrBxPHG","Ofenbach, Quarterhead, Norma Jean Martine","Head Shoulders Knees & Toes (feat. Norma Jean Martine)","Elektra France",8,8,13,"1924814"
10,"spotify:track:3gYqs2rirH5M3q4MgBKg7s","KC Rebell, Summer Cem","IRON MAN","Banger Musik II/WM Germany",10,-1,1,"1738919"
11,"spotify:track:6NpsaQyLvPLjtVLWc26GKu","Samra","Rohdiamant ٢٠٢٠","Urban",1,4,3,"1731952"
12,"spotify:track:2vS1HmVoOpvWeFKf7HnWdJ","Alligatoah, Sido","Monet","Trailerpark",12,-1,1,"1659798"
13,"spotify:track:20McUFi8KCIVdNDLrkTDuZ","HVME","Goosebumps","Columbia/B1 Recordings",13,19,14,"1568585"
14,"spotify:track:1upzszB5JxMfNUEBmkcgaO","Lune","gebe auf.","Lune/WM Germany",14,23,2,"1553159"
15,"spotify:track:4pmbb2QmCMrfNT9kL0nVtG","Dardan, Hava","mailbox","Hypnotize Entertainment",5,9,3,"1529481"
16,"spotify:track:2WRTnY0slmFgWcrmEr8dPj","Apache 207","Bläulich","Four Music/Two Sides",1,13,16,"1496608"
17,"spotify:track:59qrUpoplZxbIZxk6X0Bm3","Jason Derulo","Take You Dancing","Atlantic Records",17,17,13,"1495315"
18,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",2,12,19,"1474678"
19,"spotify:track:0PvFJmanyNQMseIFrU708S","Pop Smoke, Lil Baby, DaBaby","For The Night (feat. Lil Baby & DaBaby)","Victor Victor Worldwide",15,15,16,"1442499"
20,"spotify:track:6bM4daGlfZHtKMQp8tEqVz","Bausa, Juju","2012","WM Germany",3,14,9,"1437337"
