rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6lU4BQWZomCWRfKSowfezE","Ufo361","Emotions","Stay High",1,-1,1,"5880652"
2,"spotify:track:3ZdDYeaZzeYnrP4crgXzPk","Shirin David","90-60-111","Juicy Money Records",2,-1,1,"5200103"
3,"spotify:track:127QTOFJsJQp5LbJbu3A1y","Drake","Toosie Slide","OVO",1,1,4,"3094661"
4,"spotify:track:39Yp9wwQiSRIDOvrVg7mbk","THE SCOTTS, Travis Scott, Kid Cudi","THE SCOTTS","Cactus Jack / Epic",4,-1,1,"2980537"
5,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,4,22,"2892501"
6,"spotify:track:24Yi9hE78yPEbZ4kxyoXAI","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",4,5,24,"2796011"
7,"spotify:track:20rTzps5LFpeylWrzM84zS","Samra","BaeBae","Urban",1,3,3,"2500572"
8,"spotify:track:4rD3luOvJQ9meRCBG7WPER","Ufo361","Final Fantasy","Stay High",6,6,2,"2212847"
9,"spotify:track:7v8OynJxOxHoeS5C2UA9Y7","Capital Bra, Loredana","Nicht verdient","URBAN",9,-1,1,"2205360"
10,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Virgin",5,10,17,"2184575"
11,"spotify:track:62aP9fBQKYKxi7PDXwcUAS","Surf Mesa, Emilee","ily (i love you baby) (feat. Emilee)","Astralwerks",11,11,8,"2180994"
12,"spotify:track:4K9BEykCbkN1y0by5VAruR","KAYEF","Ich würd' lügen","Kayef Media",12,13,4,"2104052"
13,"spotify:track:6I2jabBRzwhiYHsSTqnrRC","Samra, Capital Bra","365 Tage","Urban",2,2,2,"2097844"
14,"spotify:track:3zu4LFZ5qruUJwtDpCRQW4","Ufo361","Allein sein","Stay High",2,27,5,"1903829"
15,"spotify:track:7sMe3DBnBppU4COnQJHRV5","Dardan","WIE LANG?????????","Hypnotize Entertainment",7,7,2,"1886427"
16,"spotify:track:1vZqDXhvyXAwSM8V6MU0N5","CÉLINE","Tränen aus Kajal","BTGS / A Million / Groove Attack",16,23,4,"1841334"
17,"spotify:track:7eJMfftS33KTjuF7lTsMCx","Powfu, beabadoobee","death bed (coffee for your head)","Columbia",15,16,10,"1790420"
18,"spotify:track:7vgv8KZBSo0TPzyIWG9yzV","Ava Max","Salt","Atlantic Records",12,18,11,"1771154"
19,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music/Two Sides",1,20,36,"1726430"
20,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",2,17,39,"1671859"
21,"spotify:track:0gThlZWwZWkDqRKGOz2CN1","Symba","Angels Sippen","SME - Symba",9,14,5,"1656350"
22,"spotify:track:61ZM92T2zaXIVsqncThQzC","Robin Schulz, Alida","In Your Eyes (feat. Alida)","WM Germany",12,21,16,"1654277"
23,"spotify:track:0dy5NFDnx5fuZvE8ZXEX35","Bonez MC","Shotz Fired","187 Strassenbande",2,8,3,"1645342"
24,"spotify:track:719aY5gAzJbx2PHjyalZQu","Zuna, Loredana, SRNO","Du bist mein","KMN Gang",1,12,5,"1624348"
25,"spotify:track:2xLMifQCjDGFmkHkpNLD9h","Travis Scott","SICKO MODE","Cactus Jack / Epic / Grand Hustle",25,193,37,"1573624"
26,"spotify:track:4n0Ke1KJsPHvd7xRoU29E2","Dardan, Monet192","H <3 T E L","Hypnotize Entertainment",1,19,6,"1539363"
27,"spotify:track:7C1trmcQQ5n5RNy4l6ziCv","Nea, Felix Jaehn","Some Say - Felix Jaehn Remix","Milkshake",24,25,12,"1533242"
28,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",28,39,2,"1527818"
29,"spotify:track:3UE1ojFN1y0GybCNSyKGdK","Shindy","What's Luv","Sony Music/Friends with Money",1,15,4,"1520496"
30,"spotify:track:1kNOYGYeUNIemqnotftMck","Elias","Underdog","Epic Local",30,-1,1,"1520356"
31,"spotify:track:1AoQsB9ezUA8hIX3pK93nO","Ufo361","Rolling Loud","Stay High",31,-1,1,"1506591"
32,"spotify:track:3qGVwrHmgcXCa8gSLFksCB","Ufo361","Eliantte","Stay High",32,-1,1,"1423071"
33,"spotify:track:0nbXyq5TXYPCO7pr3N8S4I","Roddy Ricch","The Box","Atlantic Records",11,26,18,"1401896"
34,"spotify:track:4nK5YrxbMGZstTLbvj6Gxw","BENEE, Gus Dapperton","Supalonely","Republic Records",26,28,8,"1397056"
35,"spotify:track:2QfmSvSMwTXcvlIkU0w1Yk","Ufo361","Rich Rich","Stay High",1,121,10,"1341896"
36,"spotify:track:78qd8dvwea0Gosb6Fe6j3k","Doja Cat","Boss Bitch","Atlantic Records",26,31,8,"1304424"
37,"spotify:track:3eekarcy7kvN4yt5ZFzltW","Travis Scott","HIGHEST IN THE ROOM","Cactus Jack / Epic",8,131,30,"1295067"
38,"spotify:track:04e7gxVx4zMzgQ589bMMim","Ufo361","Fokus auf die Zukunft","Stay High",22,22,2,"1289599"
39,"spotify:track:71MINiRBFEr7pLzljbDDSZ","Ufo361","Bad Girls, Good Vibes","Stay High",1,108,7,"1251693"
40,"spotify:track:6gBFPUFcJLzWGx4lenP6h2","Travis Scott","goosebumps","Epic/Grand Hustle",40,-1,10,"1249063"
41,"spotify:track:1ODvFnDBC1c79WF5h0mepn","Mert, Alpa Gun","Ausländer 2020 (feat. Alpa Gun)","Mula Brothers/WM Germany",9,9,2,"1241458"
42,"spotify:track:0OyQns5ayNK2OVaES0Vb8t","Juice WRLD","Righteous","Grade A Productions/Interscope Records",42,-1,1,"1231220"
43,"spotify:track:0zmXUu2BMdAfWLrs0QKF6o","Ufo361","Kobe Bryant","Stay High",43,-1,1,"1204376"
44,"spotify:track:4gc0hGrVOhDcQtbw3cjI98","Ufo361","Do Not Disturb","Stay High",44,-1,1,"1151953"
45,"spotify:track:76nqCfJOcFFWBJN32PAksn","Ava Max","Kings & Queens","Atlantic Records",45,53,7,"1151573"
46,"spotify:track:22LAwLoDA5b4AaGSkg6bKW","Lil Mosey","Blueberry Faygo","Mogul Vision/Interscope Records",23,32,11,"1150160"
47,"spotify:track:2rRJrJEo19S2J82BDsQ3F7","Trevor Daniel","Falling","Alamo",8,36,24,"1140938"
48,"spotify:track:3PfIrDoz19wz7qK7tYeu62","Dua Lipa","Don't Start Now","Urban",19,33,26,"1098274"
49,"spotify:track:0X4hMHBj4Ra6h1tIQGl1CH","Tom Gregory","Fingertips","Kontor Records",36,43,8,"1086482"
50,"spotify:track:1fcefvJF4u4LvMkbgO3Mih","Veysel","Wie du siehst","Bela Boyz",50,-1,1,"1080971"
