rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0BwO44CBPFWxAIO5ZbPf3N","Bonez MC","Roadrunner","187 Strassenbande",1,-1,1,"6113368"
2,"spotify:track:3US6RbELvvrPw3DcvtJmis","Capital Bra","Komm Komm","URBAN",2,-1,1,"4733284"
3,"spotify:track:3goH7O78TLkV9RhCAyM4AT","Apache 207","Fame","Four Music/Two Sides",1,1,3,"4640084"
4,"spotify:track:5CqkgDH8QZjSqqI3HmYxDD","Pashanim","Airwaves","Urban",2,2,2,"4271620"
5,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",5,6,6,"3580100"
6,"spotify:track:6lU4BQWZomCWRfKSowfezE","Ufo361","Emotions","Stay High",1,3,5,"3405095"
7,"spotify:track:4NhDYoQTYCdWHTvlbGVgwo","6ix9ine","GOOBA","Create Music Group",3,5,3,"2697500"
8,"spotify:track:1MFaAT6ewSgEw7vD9j6kyr","Dardan","FAVELA","Hypnotize Entertainment",8,-1,1,"2635905"
9,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,9,26,"2484051"
10,"spotify:track:7v8OynJxOxHoeS5C2UA9Y7","Capital Bra, Loredana","Nicht verdient","URBAN",1,7,5,"2439299"
11,"spotify:track:24Yi9hE78yPEbZ4kxyoXAI","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",4,10,28,"2409131"
12,"spotify:track:466cKvZn1j45IpxDdYZqdA","Drake","Toosie Slide","OVO",1,12,8,"1967320"
13,"spotify:track:62aP9fBQKYKxi7PDXwcUAS","Surf Mesa, Emilee","ily (i love you baby) (feat. Emilee)","Astralwerks",11,13,12,"1892135"
14,"spotify:track:2MpaGhvIcWxGpTppgQWM1D","KC Rebell, Summer Cem","GEHT NICH GIBS NICH","Banger Musik II/WM Germany",4,4,2,"1860303"
15,"spotify:track:33jaF6gknsRif8HzH1RMAB","Luciano","Late Night","Urban",3,11,4,"1852305"
16,"spotify:track:24UgOPKL5S1vwzLwUtPsz7","FOURTY","WEISSER RAUCH","Life Is Pain",16,20,10,"1807681"
17,"spotify:track:4K9BEykCbkN1y0by5VAruR","KAYEF","Ich würd' lügen","Kayef Media",12,15,8,"1783721"
18,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music/Two Sides",1,14,40,"1782514"
19,"spotify:track:78YdCUtMzJEPdWeFEtTnIO","Luciano","Maison","Urban",8,8,2,"1759239"
20,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Virgin",5,16,21,"1718879"
21,"spotify:track:24ySl2hOPGCDcxBxFIqWBu","Lady Gaga, Ariana Grande","Rain On Me (with Ariana Grande)","Interscope Records",21,-1,1,"1650220"
22,"spotify:track:1vZqDXhvyXAwSM8V6MU0N5","CÉLINE","Tränen aus Kajal","BTGS / A Million / Groove Attack",14,19,8,"1598772"
23,"spotify:track:5TGcyccg8Hkgn9jB7gUpMN","VIZE, Tom Gregory","Never Let Me Down","Kontor Records",23,32,5,"1572605"
24,"spotify:track:76nqCfJOcFFWBJN32PAksn","Ava Max","Kings & Queens","Atlantic Records",24,28,11,"1504923"
25,"spotify:track:7eJMfftS33KTjuF7lTsMCx","Powfu, beabadoobee","death bed (coffee for your head)","Columbia",15,25,14,"1488873"
