rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3tjFYV6RSFtuktYl3ZtYcq","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",1,2,5,"4847499"
2,"spotify:track:0y8mJFmm4ogCHnfe0oTuT6","Bonez MC","Fuckst mich nur ab","187 Strassenbande",1,1,2,"4301642"
3,"spotify:track:4aZfvvgfoSfmSZpfwQYzC0","Bonez MC, Maxwell","Ihr Hobby","187 Strassenbande",3,-1,1,"4155079"
4,"spotify:track:7mrWTjhYctgEQb0lJKrVWy","KitschKrieg, Jamule, SFR","Unterwegs","SoulForce Records",1,3,6,"3733537"
5,"spotify:track:5N92YoWttffe7U5v2j2ZA6","Bonez MC","Papa ist in Hollywood","187 Strassenbande",5,-1,1,"2974535"
6,"spotify:track:3lHuDW8SiPtnIMmaTiDFVe","Bonez MC, Gzuz, Maxwell, LX, Sa4","187 Gang","187 Strassenbande",6,-1,1,"2862242"
7,"spotify:track:6qAxQhNfM909QrDGLYEocf","Capital Bra, CRO","Frühstück in Paris","URBAN",1,5,4,"2602382"
8,"spotify:track:6cx06DFPPHchuUAcTxznu9","Joel Corry, MNEK","Head & Heart (feat. MNEK)","Atlantic Records UK",8,10,10,"2581836"
9,"spotify:track:2DQNYMRjisN3KAPj1bEwOI","Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money Records/ TenThousand Projects",9,21,5,"2562770"
10,"spotify:track:6bM4daGlfZHtKMQp8tEqVz","Bausa, Juju","2012","WM Germany",3,6,4,"2427640"
11,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",2,7,14,"2402393"
12,"spotify:track:7idxewQZ24F0gQy2EWE6Ug","Bonez MC","Tilidin Weg","187 Strassenbande",3,31,7,"2348644"
13,"spotify:track:6R6on0ldJcSDfi2whJziJ1","Capital Bra","Berlin lebt immer noch","URBAN",13,-1,1,"2313980"
14,"spotify:track:2cMOccdzRqwVuQOyxLR42W","Bonez MC, jahmiel","Wild Wild West","187 Strassenbande",14,-1,1,"2246542"
15,"spotify:track:2WRTnY0slmFgWcrmEr8dPj","Apache 207","Bläulich","Four Music/Two Sides",1,8,11,"2170755"
16,"spotify:track:37f1XhwJtItXOEFBpbymS1","Bonez MC, Gzuz","Grabstein","187 Strassenbande",16,-1,1,"2111123"
17,"spotify:track:7kSJYMFNxCMh1K9GtrMAIj","Bonez MC","Handschuhfach","187 Strassenbande",17,-1,1,"2028127"
