rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7eAJEMhjeQLLp4HSdJJ58b","Apache 207","Unterwegs","Four Music/Two Sides",1,-1,1,"5361903"
2,"spotify:track:5PAAUJTKLT0nCmHUlLdPXb","Capital Bra, Clueso, KC Rebell","Andere Welt","URBAN",2,-1,1,"4954079"
3,"spotify:track:57tck8MCxkY6tcQC6VhahR","Apache 207","Bläulich","Four Music/Two Sides",1,1,4,"4484295"
4,"spotify:track:3JDPPLA5oReVAkrEDcBllG","Ufo361, Sonus030","Shit Changed","Stay High",4,-1,1,"4235129"
5,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",2,3,7,"3543022"
6,"spotify:track:3Nicl8C2nJMUwdekcgZWZC","KitschKrieg, Bonez MC, Vybz Kartel, SFR","International Criminal","SoulForce Records",6,-1,1,"3295283"
7,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",3,4,15,"2773381"
8,"spotify:track:0Dw8hUbjXORzIWp7mjbh0t","Luciano, Shirin David","Never Know (feat. SHIRIN DAVID)","Urban",2,2,2,"2642592"
9,"spotify:track:5CqkgDH8QZjSqqI3HmYxDD","Pashanim","Airwaves","Urban",2,5,11,"2595351"
10,"spotify:track:4dYoZfSK7BwVr6CCjPoVPE","Azet, Albi","Zwei","Azet & Albi/WM Germany",10,-1,1,"2527338"
11,"spotify:track:3G67H7EzEhwITQn1gPuPwA","Dardan","Ma Bae","Hypnotize Entertainment",11,-1,1,"2513609"
12,"spotify:track:68lAxWGvGc9yGheEkFDFiT","Pietro Lombardi","Cinderella","Polydor",10,10,2,"2421946"
13,"spotify:track:6BXyD6UUPizpRpA7iOi99r","AK AUSSERKONTROLLE, Bonez MC","In meinem Benz","XY Records",1,11,9,"2324111"
14,"spotify:track:5TGcyccg8Hkgn9jB7gUpMN","VIZE, Tom Gregory","Never Let Me Down","Kontor Records",8,9,14,"2296964"
15,"spotify:track:7bDSLyTjZ1VjU5kPHTL3Ko","Kontra K, Samra","Tiefschwarz (feat. Samra)","BMG Rights Management GmbH",2,6,3,"2152126"
16,"spotify:track:2u6Jm2klS4yvAlbSHlxUwI","Robin Schulz, Wes","Alane","WM Germany",14,14,6,"2144486"
17,"spotify:track:60kRngoF681aoDmRvL9X8p","Luciano, Miksu / Macloud","Halb 3 (feat. Miksu / Macloud)","Urban",17,-1,1,"2129324"
18,"spotify:track:0p3euGPg5LgFeQGC7bBFuR","Miksu / Macloud, Summer Cem, Luciano, Jamule","XXL","FUTURA",1,13,5,"1924284"
19,"spotify:track:6YOMg5zGBzcu1Iv0N5GUnp","KitschKrieg, RIN, Kool Savas, SFR","Oh Junge","SoulForce Records",19,-1,1,"1908330"
20,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,15,35,"1906893"
21,"spotify:track:51Of5p3lKZeOg6itfs4og4","twocolors","Lovefool","Virgin",19,19,9,"1874800"
22,"spotify:track:6bRR9tU3WUBsC4aywSgHEO","FOURTY","WEISSER RAUCH","Life Is Pain",14,16,19,"1844059"
23,"spotify:track:1XTUu81IEyoi5nU5H6Bf3H","Sarhad","Sinne","Fuchs",23,26,7,"1792457"
24,"spotify:track:3yZCjDTxzZxx1kll1sRjGc","Ufo361, CÉLINE","Emotions 2.0","Stay High",1,17,7,"1778624"
25,"spotify:track:0rqY8g1Y1zaA4YwU6vhBQg","Apache 207","Boot","Four Music/Two Sides",1,18,8,"1746356"
26,"spotify:track:3goH7O78TLkV9RhCAyM4AT","Apache 207","Fame","Four Music/Two Sides",1,23,12,"1730998"
27,"spotify:track:1ueWZubKpdTGEz3AzgefB5","Juju","Vertrau mir","JINX Music",7,7,2,"1673635"
28,"spotify:track:35RJhm1pEovTBwnNR0zWad","DJ Khaled, Drake","GREECE (feat. Drake)","OVO/We The Best/Epic",28,31,2,"1657758"
29,"spotify:track:7y7w4tl4MaRC2UMEj1mPtr","Juice WRLD, Marshmello","Come & Go (with Marshmello)","Grade A Productions/Interscope Records",20,20,3,"1645621"
30,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Virgin",5,24,30,"1636260"
31,"spotify:track:24Yi9hE78yPEbZ4kxyoXAI","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",4,21,37,"1628227"
32,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music/Two Sides",1,25,49,"1612284"
33,"spotify:track:3yFmG1luaLjuHWI6BGmwxJ","KC Rebell, Summer Cem, Loredana","GEH DEIN WEG (feat. Loredana)","Banger Musik II/WM Germany",4,12,3,"1528540"
34,"spotify:track:7C1trmcQQ5n5RNy4l6ziCv","Nea, Felix Jaehn","Some Say - Felix Jaehn Remix","Milkshake",24,32,25,"1502682"
35,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",30,30,15,"1494010"
36,"spotify:track:2WOJ7D52Ng3myrKlEf4Azj","Bonez MC","Big Body Benz","187 Strassenbande",1,22,6,"1491364"
37,"spotify:track:1NP7bzm8UksJUWXsuFoOwE","Mark Forster","Übermorgen","Four Music Local",28,28,13,"1456944"
38,"spotify:track:5zDEsfsz5Ih3EKqYFbWGWy","CÉLINE","Blue Jeans","BTGS / A Million / Groove Attack",38,-1,1,"1436461"
39,"spotify:track:5nig9Lat8txvMYLoYgTTAP","KALIM","LIT","Urban",39,-1,1,"1409683"
40,"spotify:track:4KfL3Ne8bc9bC2PUB8QGwA","Capital Bra, Bozza","Ich weiß nicht mal wie sie heißt","URBAN",2,27,6,"1358261"
41,"spotify:track:7yJLc4dA0VObbLE88lZZ5q","Samra","Miskin","Urban",8,8,2,"1356333"
42,"spotify:track:1eNyHqFFfC3NrRmXQCn83K","Luciano","Nacht zu kurz","Urban",4,40,4,"1347180"
43,"spotify:track:76nqCfJOcFFWBJN32PAksn","Ava Max","Kings & Queens","Atlantic Records",23,34,20,"1339197"
44,"spotify:track:525GY0mXYnxajolwgS8Eaz","Lucky Luke","Cooler Than Me","Columbia/B1 Recordings",38,41,11,"1279837"
45,"spotify:track:6KiEsqGg0HBOSMflVH7Onx","Tones And I","Ur So F**kInG cOoL","Elektra (NEK)",44,44,7,"1257928"
46,"spotify:track:1EbdQ54jFLGEH94cUif3TI","LEA, Capital Bra","7 Stunden","Four Music/Treppenhaus Records",10,37,9,"1251946"
47,"spotify:track:24IgCW19L8lXKyFZwzFtD3","Black Eyed Peas, Ozuna, J. Rey Soul","MAMACITA","Epic",28,38,15,"1233135"
48,"spotify:track:0BwO44CBPFWxAIO5ZbPf3N","Bonez MC","Roadrunner","187 Strassenbande",1,39,10,"1223934"
49,"spotify:track:0Jh40A8WJdGXwkEDgxhaKo","Kynda Gray, RIN","Ayo Technology","GOLD LEAGUE/DIVISION",8,33,5,"1215784"
50,"spotify:track:2WlJEFrrARpoC8r3CJQH28","Luciano","Frozen","Urban",50,-1,1,"1212884"
51,"spotify:track:4WUvmhdXOUAvfkS8M37jaC","Luciano","Dreamer Drill","Urban",51,-1,1,"1210055"
52,"spotify:track:1WoM4mof0Nl1xPtwf6h6ow","KC Rebell, Summer Cem","FLY","Banger Musik II/WM Germany",3,36,9,"1192490"
53,"spotify:track:62aP9fBQKYKxi7PDXwcUAS","Surf Mesa, Emilee","ily (i love you baby) (feat. Emilee)","Astralwerks",11,43,21,"1110368"
54,"spotify:track:6lU4BQWZomCWRfKSowfezE","Ufo361","Emotions","Stay High",1,42,14,"1109341"
55,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",2,45,52,"1108363"
56,"spotify:track:5B9CtjeguIO9LeOk8Xs1J3","KAYEF","Ich würd' lügen","Kayef Media",12,47,17,"1071679"
57,"spotify:track:4w47S36wQGBhGg073q3nt7","ROSALÍA, Travis Scott","TKN (feat. Travis Scott)","Columbia",44,48,9,"990232"
58,"spotify:track:5DV4ZSCqbFv74ui3ZhimXo","Jason Derulo, Puri, Jhorrmountain","Coño","Spinnin' Records",58,64,4,"980027"
59,"spotify:track:6cx06DFPPHchuUAcTxznu9","Joel Corry, MNEK","Head & Heart (feat. MNEK)","Atlantic Records UK",59,69,3,"973777"
60,"spotify:track:4P4VheMzwOqd3kkPXT7R6m","Luciano, YG","Kinosaal (feat. YG)","Urban",60,-1,1,"966395"
61,"spotify:track:7My1iCGUznwNztIokee32S","Jerome","Take My Hand","Kontor Records",46,55,20,"964569"
