rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5FLkxbVtsn88ejcLR62L4T","Bonez MC","Angeklagt","187 Strassenbande",1,1,3,"3408626"
2,"spotify:track:1upzszB5JxMfNUEBmkcgaO","Lune","gebe auf.","Lune/WM Germany",2,3,5,"2912825"
3,"spotify:track:1WGegaPI5cRivxk7Rv3Uw8","LX, Gzuz","Kollektiv","187 Strassenbande",3,-1,1,"2573615"
4,"spotify:track:7hxHWCCAIIxFLCzvDgnQHX","Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money Records/ TenThousand Projects",2,6,13,"2553856"
5,"spotify:track:3tjFYV6RSFtuktYl3ZtYcq","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",1,4,13,"2529210"
6,"spotify:track:4YQHUUBLOjWxPYzXFEv1Pr","Loredana","Tut mir nicht leid","Loredana",6,-1,1,"2443879"
7,"spotify:track:5wvuvSerLcNK5Xc8v2duWn","Casar","Habibi","Urban",7,-1,1,"2120017"
8,"spotify:track:4y4spB9m0Q6026KfkAvy9Q","Justin Bieber, benny blanco","Lonely (with benny blanco)","Friends Keep Secrets/Def Jam Recordings/Interscope Records",8,9,4,"2058090"
9,"spotify:track:6cx06DFPPHchuUAcTxznu9","Joel Corry, MNEK","Head & Heart (feat. MNEK)","Atlantic Records UK",3,8,18,"2020689"
10,"spotify:track:2qpZjutAe3pstQsjwSXQb4","VIZE, Joker Bra, Leony","Paradise","Kontor Records",4,7,12,"2012662"
11,"spotify:track:1tkg4EHVoqnhR6iFEXb60y","Pop Smoke","What You Know Bout Love","Victor Victor Worldwide",6,10,7,"1801854"
12,"spotify:track:6i7zAdNhzUN2k1HcrBxPHG","Ofenbach, Quarterhead, Norma Jean Martine","Head Shoulders Knees & Toes (feat. Norma Jean Martine)","Elektra France",8,14,16,"1732687"
13,"spotify:track:42u8dZf00xsPqCgWFbqCqZ","Bonez MC","Jetski","187 Strassenbande",5,5,2,"1624317"
14,"spotify:track:4BzvWX9B1viL3cj4bMxmx0","Azet, Capital Bra","B.L.F.L.","KMN Gang",2,2,2,"1562151"
15,"spotify:track:35mvY5S1H3J2QZyna3TFe0","Ariana Grande","positions","Republic Records",13,13,3,"1537428"
16,"spotify:track:3849bon7IYEBYZnjYAqajA","Monet192, Takt32, badmómzjay","Sorry Not Sorry (feat. Takt32 & badmómzjay)","WM Germany",16,-1,1,"1484769"
17,"spotify:track:3Rm5Z1KgyzZnBGsiUU6tV4","Symba","Battlefield Freestyle","Sony Music - Symba",17,-1,1,"1481699"
18,"spotify:track:7mrWTjhYctgEQb0lJKrVWy","KitschKrieg, Jamule, SFR","Unterwegs","SoulForce Records",1,15,14,"1452366"
19,"spotify:track:1O2gOblgfyostGPbLzqghY","Mark Forster, VIZE","Bist du Okay","Four Music Local",18,18,7,"1442670"
20,"spotify:track:20McUFi8KCIVdNDLrkTDuZ","HVME","Goosebumps","Columbia/B1 Recordings",13,20,17,"1409017"
21,"spotify:track:5ChtVY22XWHIpSgPtZZ6wB","Loredana, Delara","Checka","Loredana",2,16,7,"1361327"
22,"spotify:track:46wuZcjvvJubDY1zGE9UVE","PA Sports","Sieben Jahre","Life Is Pain",22,-1,1,"1337276"
23,"spotify:track:2kvJnNMqnimkCZUUWjOINy","Bozza","Elbe","Def Jam Germany",15,22,7,"1321320"
24,"spotify:track:2vS1HmVoOpvWeFKf7HnWdJ","Alligatoah, Sido","Monet","Trailerpark",12,29,4,"1293986"
25,"spotify:track:45bE4HXI0AwGZXfZtMp8JR","Tate McRae","you broke me first","RCA Records Label",25,27,20,"1283595"
26,"spotify:track:59qrUpoplZxbIZxk6X0Bm3","Jason Derulo","Take You Dancing","Atlantic Records",17,23,16,"1267970"
27,"spotify:track:1kUjH5gH5RTPpIzRCkqU5g","Dardan, Gunboi","WHO THE FUCK IS THIS ? (feat. Gunboi)","Hypnotize Entertainment",27,-1,1,"1227999"
28,"spotify:track:0PvFJmanyNQMseIFrU708S","Pop Smoke, Lil Baby, DaBaby","For The Night (feat. Lil Baby & DaBaby)","Victor Victor Worldwide",15,26,19,"1207668"
29,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,25,50,"1202847"
30,"spotify:track:7Jmss3QIGYJqKbWKF8O708","Yung Hurn","Nichts mehr fühlen","LOVE HOTEL SOUNDSYSTEM",30,-1,1,"1169688"
31,"spotify:track:1EfBIxODSWrNPwUTAEYrhw","KC Rebell, Summer Cem, Capital Bra","AMCAOĞLE (feat. Capital Bra)","Banger Musik/WM Germany",11,11,2,"1161208"
32,"spotify:track:1FP9s72rDYty6mfoOEYKnE","Robin Schulz, KIDDO","All We Got (feat. KIDDO)","WM Germany",32,61,4,"1153688"
33,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",2,28,22,"1150519"
34,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",3,32,30,"1124753"
35,"spotify:track:0vWUhCPxpJOJR5urYbZypB","Purple Disco Machine, Sophie and the Giants","Hypnotized","Columbia Local",35,39,15,"1120752"
36,"spotify:track:2NatQl2UGZ5p3oKxt5Y4Dj","Gentleman, Sido, Jugglerz","Schöner Tag (feat. Sido)","Kingstone Records",36,-1,1,"1117057"
37,"spotify:track:51Of5p3lKZeOg6itfs4og4","twocolors","Lovefool","Virgin",14,36,24,"1100719"
38,"spotify:track:2MlOUXmcofMackX3bxfSwi","Master KG, Nomcebo Zikode","Jerusalema (feat. Nomcebo Zikode)","Elektra France",38,45,12,"1095312"
39,"spotify:track:2WRTnY0slmFgWcrmEr8dPj","Apache 207","Bläulich","Four Music/Two Sides",1,30,19,"1074796"
40,"spotify:track:1XdMp6v9Q3N80WnKSbGfl4","LA Vision, Gigi D'Agostino","Hollywood","Polydor",13,31,18,"1071559"
41,"spotify:track:7tUTCcqkMCnC9qLqbQeI0T","Felix Jaehn, Nea, Bryn Christopher","No Therapy","Virgin",32,43,12,"1060628"
42,"spotify:track:1Tqshmc0rnQPaIGJfRp2Da","Dennis Lloyd","Alien","Arista Records",36,37,12,"1059704"
43,"spotify:track:1kTofMVLsqgP3r77diCPI4","MERO, Nimo","Désolé","Groove Attack TraX",2,19,4,"1054263"
44,"spotify:track:4ow1etGbQ8kfbAT3QPlmhN","Gentleman, Luciano, Ezhel","Devam (feat. Luciano & Ezhel)","Kingstone Records",8,46,8,"1052214"
45,"spotify:track:0ONpvA3aZkFclnS922vuta","Bonez MC, LX","NIEMALS UNTER 1000","187 Strassenbande",4,17,7,"1018811"
46,"spotify:track:4EmiHs5KnkApKW8pkfWdWW","Kool Savas, Alies","AMG","Sony Music/Essah Media GmbH",19,49,14,"1012914"
47,"spotify:track:5u1n1kITHCxxp8twBcZxWy","Justin Bieber, Chance the Rapper","Holy (feat. Chance The Rapper)","RBMG/Def Jam",26,41,8,"1006544"
48,"spotify:track:6bM4daGlfZHtKMQp8tEqVz","Bausa, Juju","2012","WM Germany",3,40,12,"1000293"
49,"spotify:track:43CHdbHYdcbUWP10UFKyZ7","Dermot Kennedy","Giants","Riggins Recording Limited",47,53,6,"971042"
50,"spotify:track:5TGcyccg8Hkgn9jB7gUpMN","VIZE, Tom Gregory","Never Let Me Down","Kontor Records",8,48,29,"968376"
51,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music/Two Sides",1,55,64,"945249"
52,"spotify:track:6ft4hAq6yde8jPZY2i5zLr","MEDUZA, Dermot Kennedy","Paradise (feat. Dermot Kennedy)","Universal-Island Records Ltd.",52,82,2,"926439"
53,"spotify:track:0t1kP63rueHleOhQkYSXFY","BTS","Dynamite","BIGHIT MUSIC",44,59,12,"908278"
54,"spotify:track:6NpsaQyLvPLjtVLWc26GKu","Samra","Rohdiamant ٢٠٢٠","Urban",1,38,6,"877049"
55,"spotify:track:3dy7SaVShdnjwtx9IXhtzg","AK AUSSERKONTROLLE, Bonez MC","In meinem Benz","XY Records",1,56,24,"873953"
56,"spotify:track:1ddbNJwDjjmCYz1GFGYnsw","Capital Bra, CRO","Frühstück in Paris","URBAN",1,44,12,"864172"
57,"spotify:track:6AGOKlMZWLCaEJGnaROtF9","Ritt Momney","Put Your Records On","Columbia",38,47,8,"861966"
58,"spotify:track:2Wo6QQD1KMDWeFkkjLqwx5","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",4,62,52,"854165"
59,"spotify:track:27ycaQnQAxaPiyeg3nr2aB","Miley Cyrus","Midnight Sky","RCA Records Label",54,66,13,"848225"
60,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Virgin",5,64,45,"844688"
61,"spotify:track:4Oun2ylbjFKMPTiaSbbCih","Cardi B, Megan Thee Stallion","WAP (feat. Megan Thee Stallion)","Atlantic/KSR",11,60,14,"843433"
62,"spotify:track:4pmbb2QmCMrfNT9kL0nVtG","Dardan, Hava","mailbox","Hypnotize Entertainment",5,42,6,"833030"
63,"spotify:track:5LOJdJPzuevskkoAtLj8hb","Tujamo, VIZE, MAJAN","Lonely","Virgin",29,57,23,"830082"
64,"spotify:track:2Y0wPrPQBrGhoLn14xRYCG","Juice WRLD, Marshmello","Come & Go (with Marshmello)","Grade A Productions/Interscope Records",20,67,18,"818934"
65,"spotify:track:0y8mJFmm4ogCHnfe0oTuT6","Bonez MC","Fuckst mich nur ab","187 Strassenbande",1,63,10,"816768"
66,"spotify:track:178iFQyGImdKhaD2PoVdnZ","MERO","Ben Elimi Sana Verdim","Groove Attack TraX",12,12,2,"809566"
67,"spotify:track:5CqkgDH8QZjSqqI3HmYxDD","Pashanim","Airwaves","Urban",2,72,26,"808415"
68,"spotify:track:6f3Slt0GbA2bPZlz0aIFXN","Tiësto","The Business","Atlantic Records",68,115,3,"806284"
69,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",18,70,30,"779515"
70,"spotify:track:27u7t9d7ZQoyjsCROHuZJ3","Clean Bandit, Mabel, 24kGoldn","Tick Tock (feat. 24kGoldn)","Atlantic Records UK",59,71,11,"757279"
71,"spotify:track:1NP7bzm8UksJUWXsuFoOwE","Mark Forster","Übermorgen","Four Music Local",28,77,28,"751297"
72,"spotify:track:4IBi5dWmtUSMgwi7QMACOu","Asche, Kollegah","Gladiator","Asche",72,-1,1,"747903"
73,"spotify:track:5KCbr5ndeby4y4ggthdiAb","Shawn Mendes","Wonder","Shawn Mendes LP4-5 PS/ Island",55,73,6,"738980"
74,"spotify:track:6HlE9t71z9DjGi7KqSyEpA","Fousheé","Deep End","Not specified",74,86,5,"719397"
75,"spotify:track:3lrgKHm9HWefkVcpTVzqEH","Headie One, Stormzy, Luciano, AJ Tracey","Ain't It Different (feat. AJ Tracey, Stormzy & Luciano)","Relentless Records",75,-1,1,"709933"
76,"spotify:track:7kDUspsoYfLkWnZR7qwHZl","Machine Gun Kelly, blackbear","my ex's best friend (with blackbear)","Bad Boy/Interscope Records",62,76,13,"701310"
77,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",2,80,67,"701133"
78,"spotify:track:01qOl2pM8emx1sxdBQc05g","LEA, MAJAN","Beifahrersitz","Four Music/Treppenhaus Records",52,81,9,"697051"
79,"spotify:track:6lhZLbb0czULpjb2kFryPS","David Guetta, Sia","Let's Love","Parlophone (France)",79,87,7,"696861"
80,"spotify:track:5DhcEJWVdkPNkJUVnbiUKo","WIER, Alexa Feser, Annett Louisan, Bibi Bourelly, Christina Stürmer, Conor Byrne, Glasperlenspiel, ILIRA, Joel Brandenstein, JORIS, Justin Jesso, KAYEF, Kelvin Jones, LOTTE, Milow, Nico Santos, Philipp Dittberner, Sasha, Stefanie Heinzmann","Best of Us","MOKOH Music GmbH",74,83,11,"688907"
81,"spotify:track:5vGLcdRuSbUhD8ScwsGSdA","CJ","Whoopty","CJ Music Group/T-Series",81,104,3,"678972"
82,"spotify:track:6Hj9jySrnFppAI0sEMCZpJ","Juice WRLD","Robbery","Grade A Productions/Interscope Records",82,88,23,"672580"
83,"spotify:track:2iNzRQE0MlCaSHbHGzmbN2","Clueso","Flugmodus","Epic Local",83,85,14,"664464"
84,"spotify:track:5rZlwNFl01HqLWBQGryKSm","Pop Smoke, Lil Tjay","Mood Swings (feat. Lil Tjay)","Victor Victor Worldwide",23,84,14,"657929"
85,"spotify:track:0QjjaCaXE45mvhCnV3C0TA","Apache 207","Fame","Four Music/Two Sides",1,90,27,"651141"
86,"spotify:track:2SAqBLGA283SUiwJ3xOUVI","Drake, Lil Durk","Laugh Now Cry Later (feat. Lil Durk)","OVO",22,89,13,"644434"
87,"spotify:track:2ICse7t8MB60EFk6o9aUyw","Ava Max","Who's Laughing Now","Atlantic Records",68,79,13,"644102"
88,"spotify:track:1MsRfqRR4Y3RIrfqfslDus","Bonez MC","Raubüberfall","187 Strassenbande",21,21,2,"641031"
89,"spotify:track:2u6Jm2klS4yvAlbSHlxUwI","Robin Schulz, Wes","Alane","WM Germany",11,91,21,"639986"
90,"spotify:track:5FNhlq7JSnm1kisNKeuVAP","Capital Bra, Clueso, KC Rebell","Andere Welt","URBAN",2,92,16,"634416"
91,"spotify:track:7iGZofDPzYMOy2vxTekppb","Michael Schulte","For a Second","VERY US RECORDS",91,143,3,"622409"
92,"spotify:track:1yfH3lBvPoImbq16sQcsxi","CÉLINE","Überall","BTGS / A Million / Groove Attack",77,96,4,"622136"
93,"spotify:track:5iUveERei5JgBhqWlu3JIN","Georg Stengel","Mars","WE LOVE MUSIC",71,100,18,"621970"
94,"spotify:track:3lDKN6dpCx4pAqjY5XT9aW","Katja Krasavice, Fler","MILLION DOLLAR A$$ (feat. Fler)","Katja Krasavice/WM Germany",15,69,3,"620943"
95,"spotify:track:525GY0mXYnxajolwgS8Eaz","Lucky Luke","Cooler Than Me","Columbia/B1 Recordings",38,102,26,"609609"
96,"spotify:track:5iSAEoLZwBPt3JcKgqapRF","Bonez MC","Finger voller Ringe","187 Strassenbande",24,24,2,"608635"
97,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",27,107,97,"603075"
98,"spotify:track:0p3euGPg5LgFeQGC7bBFuR","Miksu / Macloud, Summer Cem, Luciano, Jamule","XXL","FUTURA",1,97,20,"602620"
99,"spotify:track:7C1trmcQQ5n5RNy4l6ziCv","Nea, Felix Jaehn","Some Say - Felix Jaehn Remix","Milkshake",24,99,40,"601631"
100,"spotify:track:6ikiAn9th3TUfS3bYS7gDX","ELIF, Samra","AUGEN ZU (feat. Samra)","Jive",9,108,10,"599661"
101,"spotify:track:2r6OAV3WsYtXuXjvJ1lIDi","Pop Smoke, A Boogie Wit da Hoodie","Hello (feat. A Boogie Wit da Hoodie)","Victor Victor Worldwide",72,98,10,"598985"
102,"spotify:track:6bRR9tU3WUBsC4aywSgHEO","FOURTY","WEISSER RAUCH","Life Is Pain",14,101,34,"590342"
103,"spotify:track:1InCpEliLCkWHOBdXW7XSx","Ava Max","Kings & Queens","Atlantic Records",23,103,35,"587317"
104,"spotify:track:55Am8neGJkdj2ADaM3aw5H","James Arthur","Train Wreck","Columbia",104,123,4,"576619"
105,"spotify:track:79s5XnCN4TJKTVMSmOx8Ep","Pop Smoke","Dior","Victor Victor Worldwide/Republic Records",80,111,38,"569977"
106,"spotify:track:35RJhm1pEovTBwnNR0zWad","DJ Khaled, Drake","GREECE (feat. Drake)","OVO/We The Best/Epic",22,105,17,"569177"
107,"spotify:track:6Im9k8u9iIzKMrmV7BWtlF","Ariana Grande","34+35","Republic Records",68,68,2,"566188"
108,"spotify:track:47EiUVwUp4C9fGccaPuUCS","Bad Bunny, Jhay Cortez","DÁKITI","Rimas Entertainment LLC",108,-1,1,"565526"
109,"spotify:track:5N92YoWttffe7U5v2j2ZA6","Bonez MC","Papa ist in Hollywood","187 Strassenbande",5,93,9,"563754"
