rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7mrWTjhYctgEQb0lJKrVWy","KitschKrieg, Jamule, SFR","Unterwegs","SoulForce Records",1,2,2,"4054928"
2,"spotify:track:1mfMAQJWZ9K4vKOahwkYQ3","Ufo361, Sonus030","Playlist","Stay High",2,-1,1,"3742187"
3,"spotify:track:2WRTnY0slmFgWcrmEr8dPj","Apache 207","Bläulich","Four Music/Two Sides",1,1,7,"3457480"
4,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",2,3,10,"3240036"
5,"spotify:track:7oJW8vNkosiWuKJtsq3mZs","Apache 207","Unterwegs","Four Music/Two Sides",1,4,4,"2646820"
6,"spotify:track:5PAAUJTKLT0nCmHUlLdPXb","Capital Bra, Clueso, KC Rebell","Andere Welt","URBAN",2,9,4,"2323261"
7,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",3,10,18,"2247453"
8,"spotify:track:4CyCHkhRsDXUeP5K4Y3xjU","Apache 207","Sie ruft","Four Music/Two Sides",1,7,3,"2229145"
9,"spotify:track:1g3J9W88hTG173ySZR6E9S","Bonez MC","Tilidin Weg","187 Strassenbande",3,5,3,"2228781"
10,"spotify:track:7LCElzlYw3myTHvC2MQWve","Samra","24 Stunden","Urban",6,6,2,"2083064"
11,"spotify:track:2u6Jm2klS4yvAlbSHlxUwI","Robin Schulz, Wes","Alane","WM Germany",11,12,9,"2059397"
12,"spotify:track:5CqkgDH8QZjSqqI3HmYxDD","Pashanim","Airwaves","Urban",2,13,14,"1990802"
13,"spotify:track:2oFmcqi6QWlZCkuHXfrJi2","MERO","Perspektive","Groove Attack TraX",13,-1,1,"1981186"
14,"spotify:track:5TGcyccg8Hkgn9jB7gUpMN","VIZE, Tom Gregory","Never Let Me Down","Kontor Records",8,15,17,"1973024"
15,"spotify:track:6BXyD6UUPizpRpA7iOi99r","AK AUSSERKONTROLLE, Bonez MC","In meinem Benz","XY Records",1,17,12,"1876412"
16,"spotify:track:7xvofve6KAoCIsqVVxH20J","Jamule, SANTOS","fastlane","Life Is Pain",9,14,3,"1866222"
17,"spotify:track:51Of5p3lKZeOg6itfs4og4","twocolors","Lovefool","Virgin",17,18,12,"1863887"
18,"spotify:track:0QjjaCaXE45mvhCnV3C0TA","Apache 207","Fame","Four Music/Two Sides",1,11,15,"1846901"
19,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",19,23,18,"1775866"
20,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,21,38,"1707743"
21,"spotify:track:08yf4NUfZnOJUZ309NemMm","Dardan, reezy","Details","Hypnotize Entertainment",21,-1,1,"1704435"
22,"spotify:track:35RJhm1pEovTBwnNR0zWad","DJ Khaled, Drake","GREECE (feat. Drake)","OVO/We The Best/Epic",22,29,5,"1691186"
23,"spotify:track:2SAqBLGA283SUiwJ3xOUVI","Drake, Lil Durk","Laugh Now Cry Later (feat. Lil Durk)","OVO",23,-1,1,"1666502"
