rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0p3euGPg5LgFeQGC7bBFuR","Miksu / Macloud, Summer Cem, Luciano, Jamule","XXL","FUTURA",1,-1,1,"4759531"
2,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",2,7,3,"4065530"
3,"spotify:track:5CqkgDH8QZjSqqI3HmYxDD","Pashanim","Airwaves","Urban",2,3,7,"3904889"
4,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",3,4,11,"3677184"
5,"spotify:track:2WOJ7D52Ng3myrKlEf4Azj","Bonez MC","Big Body Benz","187 Strassenbande",1,1,2,"3466273"
6,"spotify:track:4KfL3Ne8bc9bC2PUB8QGwA","Capital Bra, Bozza","Ich weiß nicht mal wie sie heißt","URBAN",2,2,2,"3027140"
7,"spotify:track:3yZCjDTxzZxx1kll1sRjGc","Ufo361, CÉLINE","Emotions 2.0","Stay High",1,5,3,"2967837"
8,"spotify:track:0Jh40A8WJdGXwkEDgxhaKo","Kynda Gray, RIN","Ayo Technology","GOLD LEAGUE/DIVISION",8,-1,1,"2794690"
9,"spotify:track:0rqY8g1Y1zaA4YwU6vhBQg","Apache 207","Boot","Four Music/Two Sides",1,6,4,"2713334"
10,"spotify:track:6BXyD6UUPizpRpA7iOi99r","AK AUSSERKONTROLLE, Bonez MC","In meinem Benz","XY Records",1,8,5,"2545277"
11,"spotify:track:5TGcyccg8Hkgn9jB7gUpMN","VIZE, Tom Gregory","Never Let Me Down","Kontor Records",11,13,10,"2315893"
12,"spotify:track:3goH7O78TLkV9RhCAyM4AT","Apache 207","Fame","Four Music/Two Sides",1,9,8,"2310402"
13,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,14,31,"2256137"
14,"spotify:track:24Yi9hE78yPEbZ4kxyoXAI","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",4,16,33,"2164761"
15,"spotify:track:6bRR9tU3WUBsC4aywSgHEO","FOURTY","WEISSER RAUCH","Life Is Pain",14,17,15,"2152083"
16,"spotify:track:1EbdQ54jFLGEH94cUif3TI","LEA, Capital Bra","7 Stunden","Four Music/Treppenhaus Records",10,12,5,"2078783"
17,"spotify:track:5gzSq5YFwpm0l5FwmAbJ9U","MERO","Ohne Dich","Groove Attack TraX",17,-1,1,"1960574"
18,"spotify:track:4guHn2NQzdOLHy8ABHuVML","Noizy, Gzuz, dutchavelli","All Dem Talk (feat. Gzuz & Dutchavelli)","VENTURA Records",18,-1,1,"1902461"
