rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3tjFYV6RSFtuktYl3ZtYcq","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",1,1,7,"4216989"
2,"spotify:track:5ChtVY22XWHIpSgPtZZ6wB","Loredana, Delara","Checka","Loredana",2,-1,1,"3352704"
3,"spotify:track:7hxHWCCAIIxFLCzvDgnQHX","Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money Records/ TenThousand Projects",3,4,7,"3317131"
4,"spotify:track:2i4iMzEPsJQoKQC89xKDC4","Bonez MC, LX","NIEMALS UNTER 1000","187 Strassenbande",4,-1,1,"3159689"
5,"spotify:track:7mrWTjhYctgEQb0lJKrVWy","KitschKrieg, Jamule, SFR","Unterwegs","SoulForce Records",1,3,8,"2836694"
6,"spotify:track:6cx06DFPPHchuUAcTxznu9","Joel Corry, MNEK","Head & Heart (feat. MNEK)","Atlantic Records UK",6,7,12,"2496192"
7,"spotify:track:5qw4APHP5RxJjWDpyEiiWf","Kontra K, Capital Bra","Alles dreht sich (feat. Capital Bra)","BMG Rights Management GmbH",7,-1,1,"2251848"
8,"spotify:track:0y8mJFmm4ogCHnfe0oTuT6","Bonez MC","Fuckst mich nur ab","187 Strassenbande",1,5,4,"2027320"
9,"spotify:track:1JPd9BSiiN7xrKE64Qo30m","Capital Bra","Einsam an der Spitze","URBAN",2,2,2,"2008367"
10,"spotify:track:6i7zAdNhzUN2k1HcrBxPHG","Ofenbach, Quarterhead, Norma Jean Martine","Head Shoulders Knees & Toes (feat. Norma Jean Martine)","Elektra France",10,14,10,"1980553"
11,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",2,12,16,"1976963"
12,"spotify:track:4ow1etGbQ8kfbAT3QPlmhN","Gentleman, Luciano, Ezhel","Devam (feat. Luciano & Ezhel)","Kingstone Records",8,8,2,"1961555"
