rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:127QTOFJsJQp5LbJbu3A1y","Drake","Toosie Slide","OVO",1,3,3,"3546238"
2,"spotify:track:6I2jabBRzwhiYHsSTqnrRC","Samra, Capital Bra","365 Tage","Urban",2,-1,1,"3403458"
3,"spotify:track:20rTzps5LFpeylWrzM84zS","Samra","BaeBae","Urban",1,1,2,"3206847"
4,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,4,21,"3058782"
5,"spotify:track:24Yi9hE78yPEbZ4kxyoXAI","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",4,5,23,"2961408"
6,"spotify:track:4P2LXwm4QA4l7NwUvDAuMu","Ufo361","Final Fantasy","Stay High",6,-1,1,"2949303"
7,"spotify:track:7sMe3DBnBppU4COnQJHRV5","Dardan","WIE LANG?????????","Hypnotize Entertainment",7,-1,1,"2707267"
8,"spotify:track:0dy5NFDnx5fuZvE8ZXEX35","Bonez MC","Shotz Fired","187 Strassenbande",2,2,2,"2598981"
9,"spotify:track:1ODvFnDBC1c79WF5h0mepn","Mert, Alpa Gun","Ausländer 2020 (feat. Alpa Gun)","Mula Brothers/WM Germany",9,-1,1,"2323922"
10,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Virgin",5,8,16,"2278090"
11,"spotify:track:62aP9fBQKYKxi7PDXwcUAS","Surf Mesa, Emilee","ily (i love you baby) (feat. Emilee)","Astralwerks",11,12,7,"2138810"
12,"spotify:track:719aY5gAzJbx2PHjyalZQu","Zuna, Loredana, SRNO","Du bist mein","KMN Gang",1,7,4,"1976328"
13,"spotify:track:4K9BEykCbkN1y0by5VAruR","KAYEF","Ich würd' lügen","Kayef Media",13,19,3,"1968117"
14,"spotify:track:0gThlZWwZWkDqRKGOz2CN1","Symba","Angels Sippen","SME - Symba",9,9,4,"1901338"
15,"spotify:track:3UE1ojFN1y0GybCNSyKGdK","Shindy","What's Luv","Sony Music/Friends with Money",1,6,3,"1893921"
16,"spotify:track:7eJMfftS33KTjuF7lTsMCx","Powfu, beabadoobee","death bed (coffee for your head)","Columbia",15,15,9,"1849691"
17,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",2,11,38,"1845137"
18,"spotify:track:7vgv8KZBSo0TPzyIWG9yzV","Ava Max","Salt","Atlantic Records",12,13,10,"1843613"
19,"spotify:track:4n0Ke1KJsPHvd7xRoU29E2","Dardan, Monet192","H <3 T E L","Hypnotize Entertainment",1,10,5,"1795149"
20,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music/Two Sides",1,16,35,"1783669"
21,"spotify:track:61ZM92T2zaXIVsqncThQzC","Robin Schulz, Alida","In Your Eyes (feat. Alida)","WM Germany",12,18,15,"1777221"
22,"spotify:track:63ks1zjhYNN9eRkcN9eFtz","Ufo361","Fokus auf die Zukunft","Stay High",22,-1,1,"1679438"
23,"spotify:track:1vZqDXhvyXAwSM8V6MU0N5","CÉLINE","Tränen aus Kajal","BTGS / A Million / Groove Attack",21,21,3,"1674246"
24,"spotify:track:5cDPbx1QZnkkWyAs4eRnQy","AK AUSSERKONTROLLE","Das ist für die Diebe","XY Records",24,-1,1,"1647120"
25,"spotify:track:7C1trmcQQ5n5RNy4l6ziCv","Nea, Felix Jaehn","Some Say - Felix Jaehn Remix","Milkshake",24,24,11,"1568924"
26,"spotify:track:0nbXyq5TXYPCO7pr3N8S4I","Roddy Ricch","The Box","Atlantic Records",11,20,17,"1552053"
27,"spotify:track:2TrhpvxwuF6hrboTdRXwnS","Ufo361","Allein sein","Stay High",2,14,4,"1430536"
28,"spotify:track:4nK5YrxbMGZstTLbvj6Gxw","BENEE, Gus Dapperton","Supalonely","Republic Records",26,27,7,"1427754"
29,"spotify:track:5t5qCzrc2rJh0EWoquqQXq","Farid Bang","NADOR CITY GANG","Farid Bang II/WM Germany",29,-1,1,"1403670"
30,"spotify:track:4sClRHhZXIuWqCwaXObnMr","Ali471","GOALGETTER","Ali471",30,-1,1,"1371342"
31,"spotify:track:78qd8dvwea0Gosb6Fe6j3k","Doja Cat","Boss Bitch","Atlantic Records",26,26,7,"1365646"
32,"spotify:track:22LAwLoDA5b4AaGSkg6bKW","Lil Mosey","Blueberry Faygo","Mogul Vision/Interscope Records",23,23,10,"1347028"
33,"spotify:track:3PfIrDoz19wz7qK7tYeu62","Dua Lipa","Don't Start Now","Urban",19,25,25,"1253946"
34,"spotify:track:1EkcoZn8GA9PRPU9X9sPti","badmómzjay","Move","Vertigo Berlin",17,17,2,"1234482"
35,"spotify:track:62DgryWob8DaPfC9XCkjNI","Samra, Capital Bra","Tief in die Nacht","Urban",35,-1,1,"1231822"
36,"spotify:track:2rRJrJEo19S2J82BDsQ3F7","Trevor Daniel","Falling","Alamo",8,28,23,"1224083"
37,"spotify:track:14P8s5aiDr32gcQ5ESaYBO","Kontra K","Puste sie weg","BMG Rights Management GmbH",4,22,4,"1209702"
38,"spotify:track:05yTaWPb5rtmcLjc8gh6dB","Samra, Capital Bra","Berlin","Urban",2,38,6,"1207677"
39,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",39,-1,1,"1206661"
40,"spotify:track:7Gxh5SAuoMHkcLoLzlKVhd","Samra","Weiss","Urban",2,70,11,"1170879"
41,"spotify:track:2alc8VZAzDgdAsL2QMk3hu","DripReport","Skechers","Arista Records",30,30,6,"1166571"
42,"spotify:track:1V7JaMp11LKGwKiVmSetf0","Joker Bra, VIZE","Baby","Bra Musik",1,29,12,"1146324"
43,"spotify:track:0X4hMHBj4Ra6h1tIQGl1CH","Tom Gregory","Fingertips","Kontor Records",36,36,7,"1144865"
44,"spotify:track:3AzjcOeAmA57TIOr9zF1ZW","Dua Lipa","Physical","Urban",25,31,12,"1138995"
45,"spotify:track:7N06jo3EnV792VFaG8vuW6","Felix Jaehn, VIZE, Miss Li","Close Your Eyes","Virgin",22,34,18,"1132509"
46,"spotify:track:3l72nWivgNKYMFC7OwMEO0","LEA","Treppenhaus","Four Music/Treppenhaus Records",29,33,7,"1121035"
47,"spotify:track:53XdY53ye6uoc8LV2JMvZV","Samra","Gebet","Urban",47,-1,1,"1093736"
48,"spotify:track:3TpfrAGTazc3neqJbGYhHh","Maestro, Mois","SCHREI (feat. Mois)","Keller GmbH/WM Germany",48,-1,1,"1090734"
49,"spotify:track:1Cv1YLb4q0RzL6pybtaMLo","Surfaces","Sunday Best","Surfaces, LLC / TenThousand Projects, LLC",41,42,10,"1048513"
50,"spotify:track:2A0CxheiQGQdCiKtOR7jMP","LUM!X, D.T.E, Gabry Ponte, MOKABY","The Passenger (LaLaLa) [feat. MOKABY]","Spinnin' Records",47,47,10,"1041463"
51,"spotify:track:3Dv1eDb0MEgF93GpLXlucZ","Doja Cat","Say So","Kemosabe Records/RCA Records",44,45,14,"1038952"
52,"spotify:track:55CHeLEfn5iJ0IIkgaa4si","Megan Thee Stallion","Savage","300 Entertainment",37,37,5,"1032535"
53,"spotify:track:76nqCfJOcFFWBJN32PAksn","Ava Max","Kings & Queens","Atlantic Records",53,66,6,"989840"
54,"spotify:track:1hoLUVBx0ixX3kn0EX0P5n","Juju, Loredana, Miksu / Macloud","Kein Wort","JINX Music",1,39,14,"987562"
55,"spotify:track:017PF4Q3l4DBUiWoXk4OWT","Dua Lipa","Break My Heart","Urban",39,48,4,"984738"
56,"spotify:track:0JjM9bKm4wrwohMslcm892","G-Eazy, Tory Lanez, Tyga","Still Be Friends (feat. Tory Lanez & Tyga)","BPG/RVG/RCA Records",39,41,11,"972087"
57,"spotify:track:4zLSkwZaiMfzzapPCbdG90","GAMPER & DADONI","Gimme! Gimme! Gimme!","Big Top Amsterdam",52,52,8,"957246"
58,"spotify:track:2PGA1AsJal6cyMNmKyE56q","Apache 207","200 km/h","Four Music/Two Sides",2,43,31,"942665"
59,"spotify:track:0A141i02gDs2bG0Nnby51X","Samra, ELIF","Zu Ende","Urban",3,99,13,"937369"
60,"spotify:track:2tnVG71enUj33Ic2nFN6kZ","Regard","Ride It","Ministry of Sound Recordings",12,40,36,"936704"
61,"spotify:track:3AYFVvzkzUxS96Dpwws9xz","Samra","Vergebung","Urban",61,-1,1,"920108"
62,"spotify:track:2jSEuXO2G4WtLbkHHN5NU2","Samra","6 Uhr","Urban",5,120,7,"917625"
63,"spotify:track:67ojvEGRPAUCOohuMPqoRC","Capital Bra, Samra, LEA","110","Urban",1,49,31,"910785"
64,"spotify:track:3FGiFUJRRp5RGikVrs6kig","Alicia Keys","Underdog","RCA Records Label",53,53,7,"891420"
