rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5FLkxbVtsn88ejcLR62L4T","Bonez MC","Angeklagt","187 Strassenbande",1,1,2,"4559662"
2,"spotify:track:4BzvWX9B1viL3cj4bMxmx0","Azet, Capital Bra","B.L.F.L.","KMN Gang",2,-1,1,"2923108"
3,"spotify:track:1upzszB5JxMfNUEBmkcgaO","Lune","gebe auf.","Lune/WM Germany",3,4,4,"2879491"
4,"spotify:track:3tjFYV6RSFtuktYl3ZtYcq","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",1,2,12,"2874974"
5,"spotify:track:42u8dZf00xsPqCgWFbqCqZ","Bonez MC","Jetski","187 Strassenbande",5,-1,1,"2867294"
6,"spotify:track:7hxHWCCAIIxFLCzvDgnQHX","Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money Records/ TenThousand Projects",2,3,12,"2692894"
7,"spotify:track:2qpZjutAe3pstQsjwSXQb4","VIZE, Joker Bra, Leony","Paradise","Kontor Records",4,5,11,"2244165"
8,"spotify:track:6cx06DFPPHchuUAcTxznu9","Joel Corry, MNEK","Head & Heart (feat. MNEK)","Atlantic Records UK",3,6,17,"2159873"
9,"spotify:track:4y4spB9m0Q6026KfkAvy9Q","Justin Bieber, benny blanco","Lonely (with benny blanco)","Friends Keep Secrets/Def Jam Recordings/Interscope Records",9,9,3,"2031938"
10,"spotify:track:1tkg4EHVoqnhR6iFEXb60y","Pop Smoke","What You Know Bout Love","Victor Victor Worldwide",6,7,6,"1928478"
11,"spotify:track:1EfBIxODSWrNPwUTAEYrhw","KC Rebell, Summer Cem, Capital Bra","AMCAOĞLE (feat. Capital Bra)","Banger Musik/WM Germany",11,-1,1,"1907493"
12,"spotify:track:178iFQyGImdKhaD2PoVdnZ","MERO","Ben Elimi Sana Verdim","Groove Attack TraX",12,-1,1,"1882548"
13,"spotify:track:35mvY5S1H3J2QZyna3TFe0","Ariana Grande","positions","Republic Records",13,14,2,"1832903"
14,"spotify:track:6i7zAdNhzUN2k1HcrBxPHG","Ofenbach, Quarterhead, Norma Jean Martine","Head Shoulders Knees & Toes (feat. Norma Jean Martine)","Elektra France",8,10,15,"1797666"
15,"spotify:track:7mrWTjhYctgEQb0lJKrVWy","KitschKrieg, Jamule, SFR","Unterwegs","SoulForce Records",1,12,13,"1584068"
16,"spotify:track:5ChtVY22XWHIpSgPtZZ6wB","Loredana, Delara","Checka","Loredana",2,11,6,"1582490"
17,"spotify:track:0ONpvA3aZkFclnS922vuta","Bonez MC, LX","NIEMALS UNTER 1000","187 Strassenbande",4,55,6,"1527184"
18,"spotify:track:1O2gOblgfyostGPbLzqghY","Mark Forster, VIZE","Bist du Okay","Four Music Local",18,19,6,"1509334"
19,"spotify:track:1kTofMVLsqgP3r77diCPI4","MERO, Nimo","Désolé","Groove Attack TraX",2,8,3,"1466538"
20,"spotify:track:20McUFi8KCIVdNDLrkTDuZ","HVME","Goosebumps","Columbia/B1 Recordings",13,17,16,"1459783"
21,"spotify:track:1MsRfqRR4Y3RIrfqfslDus","Bonez MC","Raubüberfall","187 Strassenbande",21,-1,1,"1411167"
22,"spotify:track:2kvJnNMqnimkCZUUWjOINy","Bozza","Elbe","Def Jam Germany",15,21,6,"1387951"
23,"spotify:track:59qrUpoplZxbIZxk6X0Bm3","Jason Derulo","Take You Dancing","Atlantic Records",17,18,15,"1379245"
24,"spotify:track:5iSAEoLZwBPt3JcKgqapRF","Bonez MC","Finger voller Ringe","187 Strassenbande",24,-1,1,"1319424"
25,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,26,49,"1302840"
